,description
324,"1

"
325,
326,"Manduka PROlite yoga mats are a fresh alternative for people who need a lighter, zero-waste mat with superior quality and comfort. Like its big brother the Black Mat PRO, the PROlite is all about performance, both in the studio and on the go. Available in five passion-inspiring colors, the PROlite gives you more choices and the same Manduka results. It will enhance your practice and protect our planet.

"
327,
328,"Coghlan's Ltd. is recognized as the world leader in outdoor camping accessories. Founded in 1959; Coghlan's is a family owned company and has built its reputation on core values of product quality and innovation.

"
329,"Designed to meet the needs of individuals or small groups in most survival situations, the Coghlan's Survival Kit is ideal for backcountry trekkers, wilderness hikers, and emergency preparedness. The kit contains: one emergency blanket; matches; signal whistle; two firesticks; 12-hour lightstick; pencil; notepad; salt packet; four antiseptic pads; four bandages (1” x 3”); four bandages (3/8” x 1-1/2”); elastic patch bandage (2” x 3”); sterile pad (3” x 3”); two 4-inch adhesive strips; compass; poncho; signal mirror; 50-foot orange trail tape; 10-foot snare wire; two razor blades; needle; spool of thread; two safety pins; 12-foot nylon rope; 30-foot fishing line; two fish hooks; two sinkers; waterproof pouch (7” x 10”); 35-foot nylon cord; reusable PVC pouch (8” x 12”); 5-hour candle. Coghlan's makes the outdoors more comfortable and enjoyable with over 450 accessories for camping, hiking, fishing, and RVing -- from cooking gear to first aid kits, insect netting, firestarters, tent repair, and more.

"
330,"The ultimate protection against mosquitoes, wood ticks, deer ticks and no-see-ums. Features a fine No-See-Um Mesh made from 100% Polyester. Flame retardant, lightweight and keeps you cool. Elasticized drawstring waist and cuffs. Small - fits up to 160 lbs (73 kg) Medium - fits up to 200 lbs (91 kg) Large - fits up to 240 lbs (109 kg) X-Large - fits up to 300 lbs (136 kg)

"
331,"Red Metal Bell for KETTLER Tricycles

Warn people you are coming through by attaching the Kettler Bell Red Metal Bell to your Kettler Bike, Tricyle, or Riding Toy. This classic red metal bell is operated by simple thumb-pushing action and features a one-screw attachment for hassle-free installation. Compact and lightweight, this charming vintage-style bell measures 2 x 2 x 3 inches (H x W x L) and weighs 1 pound.

"
332,"Faster than buddy breathing and easier than an octopus - easily attaches to your BC with included holster and safety leash

"
333,"Rotatable spigot (with dust cap) works with all MSR reservoirs and offers a blast of water for cleaning hands, filling pots, and dish duty.

"
334,"Black Diamond White chalk is specifically blended for climbing to keep sweat at bay, ensuring maximum grip no matter how hot or humid it gets. Improves grip for better climbing performance. 56 g (2 oz) block can be broken down to fit your chalk bag.

"
335,"Black Diamond sewn nylon runners for traditional protection. Get tricky with them. Tie them off on chickenheads, sling trees and chockstones or use them to help reduce rope drag.
Weight : [30 cm] 18 g (0.63 oz); [60 cm] 36 g (1.3 oz); [120 cm] 67 g (2.4 oz); Strength : 22 kN (4,946 lbf)

"
336,"Though Black Diamond's Forearm Trainer looks like a dog chew toy, it works surprisingly well at giving you a good forearm pump when you can't go climbing. Stash the Forearm Trainer in your desk at work or at home. Keep your arm strength up by squeezing it with each hand until you have good Coke bottle forearms, and you can barely type on your keyboard.

"
337,"651020 Features: Specifications:

"
338,"The Richter design is suitable for use in all weather and bottom conditions and with its added black coated protection the anchor lasts longer. Its performance in rocks, mud, weeds and sand is superior to traditional anchors and requires less anchor line. The Richter Anchor will set and hold, even using a 3-1 scope, allowing boaters and fishermen to stay closer to their set point. Weights vary due to metal and coating content. Listed weight is approximate.

"
339,"4 LED headlamp with 3 lighting levels mounted on a retractable cordwhich can be worn on the head, around the wrist or attached to a shoulder strap of a backpack. Ultra-compact and ultra-lightweight.Lighting level can be adjusted to help conserve battery life--3 lighting levels (maximum, optimum, economic). Single compartment contains LED and batteries Technical specifications Strobe mode. Water resistant for all-weather use. Cord made of Dyneema. Operates on 3 AAA/LR03 batteries (included). Weight : 65 g including batteries. 3-year guarantee.

The Petzl Zipka Plus is an upgraded version of the top-selling Zipka with these additional features: 4 LED's instead of 3, a push on/off button instead of a slider switch, and 3 brightness settings with strobe function. The Zipka's immense popularity is due to its immense functionality. From housewife to hardcore mountaineer, it seems as though everybody finds the Zipka the handiest of tools. At 2 ounces, there's no excuse for venturing into the backcountry without one of these in your pack. Four LED bulbs powered by 3 AAA batteries (included) cast bright white light over relatively short distances (30ft or 10m), making the Zipka Plus perfect for trail hiking, setting up camp, and reading. The Zipka Plus is the same headlamp as the Tikka Plus, except that a retractable wire strap system replaces the elastic headband, making it even more compact and lightweight than the Tikka Plus. It also lacks the tiltable housing of the Tikka Plus. Attach this headlamp to your wrist, tent pole or dog's collar - and you're good to go!

"
340,"This Suncast golf bag garage organizer rack is the perfect storage unit for your golf clubs, shoes, gloves, hats, and other equipment. Show your golf clubs the love they deserve by storing them properly. This is the ideal gift for dad. He will always have a place to store his clubs and other golf accessories. The Suncast golf organizer has room for two golf bags, and a protective foam strip ensures that the shafts don't get scratched. It also includes three shelves and a five-inch bin you can use for storing shoes, golf balls, tees, and so on. This golf bag organizer is a hole-in-one! Assembly instructions are included.

Show your golf clubs the love they deserve by storing them properly. The Suncast golf organizer has room for two golf bags, and a protective foam strip ensures that the shafts don't get scratched. It also includes three shelves and a five-inch bin you can use for storing shoes, balls, tees, and so on. Requires assembly.--Josh Dettweiler

What's in the Box
Golf organizer, assembly instructions



"
341,"They'll make Prairie dogs and Coyotes disappear, and Forever elevate your expectations of a riflescope in this price range. Equally at home on the range, in the woods or on the Prairie, Tasco's target and varmint Series riflescopes deliver the ultra-bright, clear imagery you demand for locating and annihilating the smallest targets. Specifications: - magnification: 2.5-10X - field-of-view: 35-9ft. At 100 yards - exit Pupil: 16.8mm at 2.5x/42.Mm at 10x - lens coating: supercon/multi-layered, fully coated - focus type: eyeball - Parallax setting: 10 ft to Infinity - objective lens diameter: 21mm - eye relief: 3in. - reticle type: true Mil-Dot - windage/elevation: 1/4 M.O.A. Glove-grip turrets - tube Dia: 1in. - weight: 19.1 oz. - length: 14 inch - finish: black matte.

"
342,"Weaver Quad Lock Detachable Rings off two straps and four screws provide added gripping power. The rings are lightweight and all-aluminum. Thumbscrews allow for quick detach. These rings feature the positive dovetail locking system and boast rear mount windage adjustments. They offer maximum strength in steel construction and top-notch recoil resistance for the ultimate hold on your scope. Weaver rings can handle any scope-mounting need. Whether you're looking for our classic Weaver's original cross-lock Top Mount, windage adjustable or dovetail extension rings; we have many great options. These rings are available in a variety of choices including aircraft-grade aluminum options or Grand Slam steel, and many more.

"
343,"The variable power of the V-Series scopes makes up for a lot of surprises wild game can throw at you. On low power, the field of view is as wide as possible, to help you find game that pops up fast. The power adjustment ring has a raised node that hel

"
344,"

You won’t find a rifle or shotgun scope loaded with more features per dollar than ProSport from Simmons®. The fully coated optics yield bright, sharp images while our QTA™ (Quick Target Acquisition) eyepiece provides at least 3.75 inches of eye relief. Rugged durability is also a large part of the ProSport equation – our TrueZero™ windage and elevation adjustment system and one-piece, aircraft-quality aluminum tube construction make the ProSport ready for any hunt. Plus, our SureGrip™ rubber surfaces on the eyepiece and adjustments make the ProSport one of the easiest scopes to adjust in any weather. For innovation, dependability and value, no other riflescope packs it in like ProSport.

Features:

Specifications:

Established in 1983, Simmons Optics offers a wide range of innovative, value-priced riflescopes and binoculars for hunting and other outdoor pursuits.



"
345,"Ensures bore and reticle alignment at a glance. A useful tool for accurate shooting . Contains a white scribed line on housing for quick reference. Once installed, the bubble level will let the shooter know if the gun is being held level prior to the shot.

"
346,"Apex Archery TG-TG954CG STARBRITE DELUX 5-40 GRN

"
347,"These easily installed, lightweight 4 oz. Remington shotgun scope mounts are perfect to add the magnification and precision of scope sighting to your shotgun. Several cross slots atop the mount for Weaver type rings allow adjustments for desired eye relief. Will fit Models 870, 1100 and Model 11-87 2 3/4"" to 3 1/2"" chambered shotguns, right and left handed.

"
348,"Replacement Lamp, Description/Special Features Replacement Lamp, Xenon Lamp Type, For Use With 6P, C2, D2, G2, G2Z, Z2

"
349,"Horizontal pouch carries magazine securely with a hook and loop flap over the end of the magazine. Hook and loop belt attachment holds tight to most belts. Works great for multi-tools as well.

"
350,
351,"BARRICADE Rust Protection protects your firearms from rust. It rapidly drives out moisture from metal pores and deposits a transparent coating which seals the surface with a protective film. Withstands 500 hours in ASTM humidity test and 96 hours in ASTM salt spray test. BARRICADE Rust Protection is also an excellent penetrant for loosening rusty or frozen parts, as well as a good lubricant and an effective bore cleaner. Contains FPR to wipe off corrosive fingerprints on all your firearms. Available in spout or aerosol cans. Cannot ship to California

"
352,"LIFE LINE Rescue Throw Bag - You’ll be astonished how easy it is to throw this 50 ft. rescue line with incredible accuracy to a swimmer in trouble. Keep LIFE LINE accessible by hanging it from a boat rail or other convenient spot with the integrated strap with side release buckle. Easy to understand and implement directions with graphics are printed on the outside. Constructed of rugged bright orange, UV-resistant 600-denier polyester. Great for snowmobiles on frozen lakes too!

"
353,
354,"Esbit 1300-Degree Smokeless Solid Hobby Fuel Tablets are the original German-made solid fuel tablets. Available in 4-gram and 5-gram sizes, Esbit fuel tablets are virtually smokeless and odorless. The 4-gram tablets burn approximately 5 minutes, and 5-gram solid fuel tablets burn approximately 7 minutes; both the 4-gram and 5-gram sizes are ideal for hobby applications such as Wilesco engines, steam-launch boats, and hobby trains, as well as for starting campfires or generating an emergency heat source. Five-gram tablets are individually packed in waterproof packaging, giving them a 10+ year shelf-life and making them excellent outdoor, survival or emergency essentials. All Esbit Solid Fuel Tablets work at high altitudes and sub-zero temperatures, are smokeless, and have almost no combustion residue. Esbit 1300-Degree Smokeless Solid Hobby Fuel Tablets light easily with a sustained flame from a match or lighter, can be snuffed out, and if kept dry, will relight when needed again. Ideal for the avid hobbyist and survivalist, tablets are available in three configurations: 20 Pieces Each 4g, 16 Pieces Each 5g, 60 Pieces Each 4g. Made in Germany; 2-year manufacturer’s warranty.

"
355,
356,"3M Peltor Tactical 6S Hearing Protector offers active hearing protection, performance and comfort. Each unit comes equipped with stereo microphones and independent volumes controls on each cup. Ideal for long range shooters the low-profile cup design helps minimize gun stock interference. Available in both headband and neckband styles, Tactical 6S Hearing Protector is lightweight, folds for easy storage and has a Noise Reduction Rating (NRR) of 19dB. Requires (4) AAA batteries. Batteries included.



The Peltor Tactical 6S hearing protector from 3M (model 97043) offers comfort, performance, and protection. Its low-profile ear cups make the Tactical 6S an ideal choice for long gun shooters. The protector's electronics limit amplified sounds to 82 dBA while active volume provides distortion free amplification of low-level sounds up to 19 dBA. Stereo microphones provide enhanced sound detection, and it features independent volume controls on each cup.

The Tactical 6S serves many purposes for individuals who are around high-decibel sounds for a prolonged period of time. With active volume hearing technology, the Tactical 6S allows wearers to be adaptive to the environment and alert to low-decibel noises such as others voices. Whether on the range, hunting in the woods, or working in the garage, your hearing protection should instill you with confidence that safety is accounted for.

Hearing loss due to noise is almost entirely preventable by judicious use of hearing protection. To find out which hearing protection products are best for you, try different devices from the wide variety available today. Be sure to carefully read the instructions — hearing protection must fit properly and be worn correctly to do the job.

Hearing protector effectiveness is specified by a Noise Reduction Rating (NRR), typically ranging from 15 to 35 decibels. In practice, the protection that normally can be achieved is about 10 to 20 decibels. The more carefully you fit and wear hearing protectors, the higher your protection will be.

3M Peltor Brand began more than 50 years ago and boasts a broad selection of personal safety products designed for shooters and hunters. From tactical hearing protection and earplugs to eye protection, the 3M Peltor Brand offers quality products, innovative technology and materials designed for comfort, fit and performance.





"
357,"

Lightweight and comfortable, the Peltor Bulls Eye 9 from 3M (model 97007) is an effective hearing protector for most loud environments. An economical choice without sacrificing quality, it features 25 dB protection, low-profile domes with pressure equalization, soft foam filled ear cushions and a padded adjustable headband.

Fueled by years of experience, the 3M Peltor Passive Hearing Protector product line has expanded to include a full range of hearing protectors designed for protection without sacrificing comfort. The product line also includes models for listening and impact noise. 3M Peltor Passive Hearing Protectors are tested in NVLAP-accredited facilities.

Hearing loss due to noise is almost entirely preventable by judicious use of hearing protection. To find out which hearing protection products are best for you, try different devices from the wide variety available today. Be sure to carefully read the instructions — hearing protection must fit properly and be worn correctly to do the job.

Hearing protector effectiveness is specified by a Noise Reduction Rating (NRR), typically ranging from 15 to 35 decibels. In practice, the protection that normally can be achieved is about 10 to 20 decibels. The more carefully you fit and wear hearing protectors, the higher your protection will be.

3M Peltor Brand began more than 50 years ago and boasts a broad selection of personal safety products designed for shooters and hunters. From tactical hearing protection and earplugs to eye protection, the 3M Peltor Brand offers quality products, innovative technology and materials designed for comfort, fit and performance.



Bulls Eye 9 is a universal hearing protector that is lightweight, comfortable and effective enough for most loud environments.

"
358,
359,"Activa 20-30 mmHg Athletic Socks over the calf small white.

"
360,"Mylec All-Purpose Steel Goal measuring 52 x 43 x 28 inches with a 1-1/2 steel tubing, features a pro-style top shelf. Goal with a professional-type styling and quality-construction has a center pipe support for additional strength that delivers superior playability. Goal red includes heavy-duty nylon netting that is sleeve-mounted for easy setup and take-down. It can be set up a short span of time with the featured tough sleeve net system.



This all-purpose steel hockey goal is built to stand up to tough game play with heavy gauge 1.25-inch steel tubing, a pro-style top shelf, and precision fit parts. The easy-to-assemble net features polyester netting sewn onto six rugged canvas sleeves, with quadruple stitching for added durability. The goal measures 52 by 43 by 28 inches (WxHxD) and is suitable for indoor or outdoor use.



"
361,"4 Ball Bearings. Graphite Body and Rotor. Machined Aluminum Spool. Titanium Line Roller. Rosewood Handle Knob. Spare Aluminum Spool. On/Off Anti-Reverse. Class: Ultralight Freshwater. 155/2, 100/4, 50/6. Gear Ratio: 5.2:1 Weight: 6.0 oz.Capacity: 4/100.

"
362,"US manufactured with unique ultimax moisture control system, designed to keep feet dry with no blisters or odor, durable midweight wool-free sock with long wear heal and toe, cushioned foot and seamless toe closure for comfort, great for hiking or comfortable year around casual use where durability and moisture control are important

The original Ultimax mid-weight hiker. Great moisture management keeps feet dry and blister free.

"
363,"The ultimate, hassle-free solution for cyclists on city streets and on narrow, winding country roads who need an effective way to see what's coming up behind them. The unique ""Gumby""-like Kraton covered wire makes Reflex the first and only flexible and fully adjustable helmet mirror. The generously oval shaped mirror on Reflex provides a larger field of view than other mirrors and its vertical aspect increases depth of field. Adjust or remove Reflex easily No Hassle Installation Removable Extra Wide Angle View Fits On All Helmets Stays in Adjustment Weighs only 0.7 ounces (21.8 grams)



The CycleAware Reflex Bicycle Helmet Mirror is the ultimate hassle-free solution for urban and recreational cyclists. The unique, ""Gumby""-like Kraton covered wire makes this mirror the first (and only) flexible and fully adjustable helmet mirror. The large, oval-shaped mirror provides a generous field of view and its vertical aspect increases the depth of field, so you'll be able to see more than with other mirrors. The durable base can permanently adhere to all bicycle helmets and the mirror detaches easily. At 0.7 ounces, it's so light that its weight is virtually unnoticeable to the wearer.



"
364,"ViewPoint is an adjustable rear view mirror for a variety of sports. The mirror sticks to the inside of your sunglasses where it's invisible to others. Its tiny 3/8-inch diameter mirror mounts with a ball and socket arrangement so you can use it on a variety of eyewear designs and still find the best viewing angle.It's simple to use. The base of the mirror comes with an adhesive attached to it. To install it, you simply peel the protective paper off the adhesive and place ViewPoint on the inside of your eyewear lens.While cyclists and runners mainly use ViewPoint to spot competition and traffic, they're also using it after they're done with their race or workout. It's like having eyes in the back of your head! ViewPoint is a great source of security and fun!



The ViewPoint Mini Spy Mirror mounts to the inside of most sunglasses to provide you with a rear-view for any sport. On the road and during training, cyclists and runners get a view of the traffic behind them. Racers, including cyclists, runners, and rowers can use the ViewPoint to see the competition without slowing down to look.

Simple to install, the ViewPoint mirror sticks to the inside of your glasses with a self-adhesive backing. To install it, you simply peel the protective paper off the adhesive and place the ViewPoint on the inside of your eyeglass lens. The tiny 3/8-inch diameter mirror is invisible from the front, and is equipped with a ball and socket that allows for 40 degrees of adjustment for best viewing.



"
365,"Enjoy your next bike ride or favorite outdoor activity in style with the Schwinn Thrasher Bicycle Helmet. The Thrasher features Schwinn’s 360 Comfort System with dial fit and full range padding for a customizable fit. Plus, full-shell coverage provides extra protection. The Thrasher also features a classic angular design that never goes out of style. But that’s not all, 20 thoughtfully placed vents offer maximum ventilation, so you’ll stay cool and comfortable even on warm summer rides. Enjoy a helmet that looks great and protects your noggin with the Thrasher. Enjoy the freedom of riding with Schwinn.

"
366,"This version is not intended for commercial use. Product warranty is voided if used for commercial purposes. From the elite athlete to kids to weekend warriors trying to stay in shape, BOSU® Balance Trainer helps to strengthen and coordinate your body including the muscles that you don't see.

Appropriate for everyone from elite athletes to kids to weekend warriors trying to stay in shape, the Bosu balance trainer helps you strengthen and coordinate several major muscle groups, including the muscles you don't see. The Bosu targets your core muscles--the muscles around your abdominal and back area--while you perform a host of different workouts, from squats and bicep curls to lateral shoulder raises and hip extensions. As a result, you not only gain strength, trim, and tone, but also improve your balance and coordination along the way. In addition, Bosu training helps strengthen the mind, with thoughtful movement that requires the participant to not only be physically involved, but also ""here and present"" with the mind fully engaged. By combining physical and mental focus, Bosu training will boost your performance across a wide continuum of activities, including sports, recreation, and daily tasks.

The Bosu home trainer comes with a workout series on a single DVD to help get you fit, along with a foot pump and exercise manual. The DVD workout series starts with the Calorie Combustion Workout, which combines step routines with sport-specific moves to get your heart rate up and your muscles challenged. The Long & Lean Workout follows a different formula, with master trainer Chalene Johnson leading you through Pilates-inspired movements that emphasize total body toning, so you feel stronger, taller, and younger. Finally, the Absolutely Abs Workout concludes the Bosu package. In this final workout, master motivator Greg Cook unlocks the Bosu dynamics to maximize your range of motion and take your ab workouts to the next level.



"
367,"This Alpen MINI spotting scope is fully waterproof and fogproof. The small size does not mean these are not powerful. This model has 20x magnification which provides close up viewing of distant objects while weighing only 11 ounces. The retractable sun shade helps reduce glare and the multi-coated optics deliver a bright crisp image. Great for back country use as well as in your back yard. Comes with small table top tripod and durable carrying case. Backed by Alpen's lifetime warranty against defects in materials and workmanship.

Spotting scope users demand top-quality optics that perform flawlessly under all weather conditions. Enter the Alpen 20x50 mini spotting scope, a waterproof, fogproof spotting scope that's ideal for backcountry use or just checking out the scenery from your backyard. Despite the compact size, the mini scope is still plenty powerful, with a 20x magnification that provides crisp close-up viewing of distant objects. The scope's BK7 lenses and multicoated optics, meanwhile, guarantee superior brightness, resolution, and edge clarity regardless of your subject. And the Alpen scope stands up to rough handling thanks to the nitrogen-filled housing, which is waterproof, dustproof, and shock-resistant.

The 20x50 scope also includes a couple of handy extras: a retractable sunshade to help reduce glare and a small adjustable tabletop tripod for stability. Also bundled with a nylon carrying case, the scope is backed by Alpen's lifetime warranty against defects in materials and workmanship.

Specifications

About Alpen Optics
Established in 1997, Alpen Optics produces a full line of binoculars, spotting scopes, riflescopes, and accessories designed to offer superior value to the consumer. The company produces more than 70 products and accessories chock full of features and benefits normally found on much more expensive brands. Alpen backs up its commitment to quality manufacturing with a limited lifetime factory warranty. Alpen is headquartered in Rancho Cucamonga, California.

"
368,"The Yukon Neoprene Sling with Rifle Cartridge loops features a neoprene pad with non-slip back and four elastic shell holding loops. Comes in Mossy Oak Break-Up Country camo with a thumb ring loop for extra stability and comfort when you're walking to your blind or stand.

"
369,"This knit gun sock is designed to protect your firearm against scratches, dings, dust, and marring when traveling or stored in your safe or hard case. The silicone treatment helps keep moisture away from your gun, which prevents rust.Made in the USA and fits most guns with or without scopes up to 52″ or 132cm in length.

"
370,"Remington offers a thick 100% polyester fabric gun sack that protects against dirt and scratches and has a drawstring closure. It is treated with silicone to help protect from rust and one size fits most. The Remington gun sack is 52 inch long and works on guns with or without scopes. Specifications: - color: green - material: cotton treated with silicone - type: gun sock.

"
371,
372,"1"" rings Fits 3/8"" or 11mm dovetail Matte black

"
373,"Mylec's goalie mask with high impact ultra light plastic is great for all types of ball hockey action.

"
374,"These punches are made with utmost precision. These brass roll pin punches are manufactured from high quality CDA 360 hex brass rod extruded in a mill in the USA and beautifully polished. These punches are machine turned and designed for critical work were non-marring and non-sparking are of importance and carefully made to properly fit roll spring pins. The set consists of eight brass roll pin punches sizes 1/16"", 3/32"", 1/8"", 5/32"", 3/16"", 7/32"", 1/4"", 5/16"". Grace USA Bench Block Tool Holders are designed specifically for each tool so that they are neatly kept in order and are readily accessible when needed for a specific task. Each Bench Block is made out of 60 durometer Neoprene rubber. Neoprene rubber is a general-purpose compound that offers excellent oil resistance and chemical stability, as well as vibration dampening. Neoprene will remain stable over a wide temperature range. Best rated tools. Entire set is 100% Made in the USA.

"
375,"Hammer Features A Solid 360 Brass, Machine Turned And Hand Polished Head And A Sturdy Seasoned Hickory Handle. Perfect For Those Delicate Jobs When You Want To Protect The Finish Of Your Firearm. Made In The U.S.A.

"
376,"Hammer Features A Solid 360 Brass, Machine Turned And Hand Polished Head And A Sturdy Seasoned Hickory Handle. Perfect For Those Delicate Jobs When You Want To Protect The Finish Of Your Firearm. Made In The U.S.A.

"
377,"The Velo II Shorts from Canari feature a six-panel anatomical design with a versatile Stirato pad that provides cushioning while minimizing bulk. The shorts are constructed with a durable nylon lycra base that provides high resistance to damage from perspiration, sunlight, oils, and chlorine while giving excellent stretch, support, and recovery. The shorts have an eight-inch inseam and are held in place with softouch leg grippers.

The Stirato pad features hydrodynamic, four-way stretch fabric on both the top cover and lateral wings. This fabric moves moisture away from the skin of the inner thighs and helps prevent abrasion without the density of a pad. The pad's interior is constructed with open cell foam that has been molded to provide ergonomic support for varied anatomies.



"
378,"The Minimalist holster is a compact, open-top design that is ideal for daily wear and is constructed of premium full grain leather. An elastic loop firearm retainer tab wraps over the hammer to provide secure retention. The belt slide offers a low-profile look as the dual belt loops offer stability and pull the holster close to the body for optimum concealment. This holster is suede lined and features border stitching. It fits belts up to 1.75 in. (45 mm) in width.

"
379,"The Rebel Bumble Bug Lure is the most exciting lure in ultralight fishing! The Bumble Bug captures the appearance of an insect and the attention of fish!Every angler has watched a horsefly or other winged insect struggle on the surface and get eaten by a bass or panfish, and the Rebel Bumble Bug replicates this exciting moment with a floating crankbait that looks just like a big fly or bee. The Bumble Bug is great for ponds, creeks and streams and really gets kids hooked on fishing.

"
380,"The cooler that RESHAPED the cooler industry.

Igloo

"
381,"The Coleman Taos Extreme-Weather Mummy Bag is a great choice for cold-weather sleeping. Featuring 38 ounces of Coletherm insulation, the Taos keeps you comfortable down to 25°F. The double-batt, offset quilt construction eliminates potential cold spots, while the bag's semi-sculpted hood surrounds your head with warmth. The full-length draft tube locks out chilly drafts, while a 2-way zipper provides maximum ventilation when you want it. The Taos bag is designed with a box-foot silhouette to give your feet extra wiggle room. Stuff sack included. Commercial machine washable. 5-year limited warranty.

Stay warm and comfortable on a chilly fall evening with the Coleman Taos mummy sleeping bag. The Taos, which offers a temperature rating down to 25 degrees F, is filled with 38 ounces of Coletherm insulation. This allows for a greater loft--a measure of the amount of space the insulation occupies and the amount of air the insulation can trap. The bag also offers several other features to fight the chill, including a double-batt, offset quilt construction that eliminates potential cold spots, a semi-sculpted hood that surrounds the head with warmth, and a full-length, insulated draft tube that locks out drafts. And to help the bag last through the years, Coleman added a durable polyester and diamond ripstop cover that resists tears.



Coleman developed a number of warmth-enhancing features for its ComfortSmart system. The FiberLock insulation tailoring, for example, is designed to prevent insulation from shifting in the bag and developing thin or cold spots. By keeping the insulation in place, Coleman also lengthens the life of the bag. The ThermoLock feature contributes by reducing heat loss (and cold seepage) through zipper coils. This sets up an additional insulating barrier to stand guard along the length of the zipper, ensuring that the snug feeling campers get when zipping up the bag stays with them through the night. Coleman also added such features as a ZipPlow zipper tool, which prevents zipper snags by channeling fabric away from the zipper coils, and Zipper Glide tailoring, which makes it silky smooth to zip the bag at the corners.

Sizing
The Taos is a tall sleeping bag, with dimensions of 82 by 32 inches. As a result, the bag fits most people up to 6 feet 2 inches tall. And despite the mummy bag construction, Coleman added a box-foot silhouette to give your feet extra wiggle room.

Also equipped with a two-way zipper for maximum ventilation, the Taos comes with a stuff sack and carries a five-year warranty.

About Coleman
More than 100 years ago, a young man with an entrepreneurial spirit and a better idea began manufacturing lanterns in Wichita, Kansas. His name was W.C. Coleman, and the company he founded would change life in America. A man plagued with such poor vision he sometimes had to ask classmates to read aloud to him, Coleman saw a brilliant light in 1900 in a drugstore window that stopped him in his tracks. He inquired about the light inside and discovered he was able to read even the small print on a medicine bottle by the illumination. The lamps had mantles, not wicks, and were fueled by gasoline under pressure instead of coal oil. Soon afterward, Coleman started a lighting service that offered a ""no light, no pay"" clause--a big step forward for merchants who were burned by inferior products that rarely worked--and drew substantial interest from businesses that wanted to keep their lights on after dark.

In the ensuing years, Coleman expanded its product line well beyond lanterns. The company's current catalog is thick with products that make spending time outdoors a pleasure. There are coolers that keep food and drinks cold for days on end, comfortable airbeds that won't deflate during the night, a complete line of LED lights that last for years, powerful portable grills that cook with an authentic open-grill flame, and much, much more. Coleman has truly fashioned much of our outdoor camping experience, and expects to do so for generations to come.

Amazon.com Sleeping Bag Guide
Sleep Well: Finding the Right Sleeping Bag
Sleeping bag technology has come a long way from the days of cowboy bedrolls. These days, there are a number of high-tech materials and designs available to keep you warm during the coldest outings. Here's a short list of things to keep in mind when you're shopping for a bag:

Buy for Cold
It's a safe bet that on at least one of your adventures, the nighttime temperature will drop unexpectedly. That's why it's smart to buy a bag that's rated for the lowest possible temperature you expect to face on your camping and backpacking trips. For summer trips, a bag rated at +35 degrees F or higher will likely do the trick. If you like to camp in higher elevations in the summer, or if spring and fall outings are in your future, consider bags rated from +10 to +35 degrees F. Winter adventurers should look for bags in the -10 to +10 degrees F range, while those on serious winter alpine climbs and expeditions will want a bag rated lower than -10 degrees F.

Keep in mind that sleeping bag manufacturers' temperature ratings only estimate the minimum temperature at which the bag will provide warmth. Take these numbers with a grain of salt, as different folks generate different amounts of heat when they sleep. If you're the type who likes to pile on the covers even on warmer nights, go for a bag that's rated 10 degrees colder. The opposite is true for ""warm"" sleepers--a 35-degree bag will probably work for you on a 25-degree night.

Goose or No Goose?
The most important component of any sleeping bag is its insulating material. Modern sleeping bags offer two choices: goose down or synthetic. While both materials have advantages and disadvantages, down bags are considered superior because of their phenomenal warmth-to-weight and warmth-to-bulk ratios. While providing great insulation, down is extremely compressible and light. There's a reason why geese can fly and stay warm through the winter. Down also boasts great long-term durability and will typically retain its insulating properties after years of use.

All of that said, there are many high-quality synthetic bags on the market, and synthetic materials are getting better all the time. While a synthetic bag will weigh somewhat more than a down bag at an equivalent temperature rating, synthetic bags perform better when wet. (Yes, the Achilles heel of down is that it loses all insulating properties when wet.) If your trips take you to wet climates, you may want to consider a synthetic bag for this reason alone. Keep in mind, too, that many people are allergic to down, while synthetic bags are non-allergenic. Finally, down is considerably more expensive than synthetic, which might tip the balance for adventurers on a budget.

Bags for All Shapes
Sleeping bags come in two basic shapes that reflect their intended use. Mummy-shaped bags offer the best warmth because they conform to the body's contours. This minimizes the amount of body heat the body must put out to maintain a constant temperature. Many mummy bags are offered in women-specific shapes and sizes, as well. Rectangular bags, while they do offer more room to toss and turn, are less thermally efficient because they contain more open air space. Also, they are typically heavier than mummy bags, and are generally not offered with down insulation, making them best suited for car camping or short backpacking trips.

Pad Yourself
No matter what kind of bag you choose, a sleeping pad is a required accessory. Not only do they provide much-needed comfort when sleeping on the ground, pads also offer crucial warmth for your backside, as the weight of your body compresses--and renders virtually useless--the sleeping bag insulation that lies beneath you.



"
382,"This integrated compass/bell is the perfect companion on any ride!

"
383,"The Igloo Polar 120 Cooler lets you camp or fish even longer, with Ultratherm insulation in the body and lid to hold ice up to 5 days in temperatures up to 90 degrees. This oversize Igloo ice chest has a 120 quart capacity that holds 188 12 oz. cans or enough food for your whole crew. Reinforced, swing-up handles have a tie-down loop, and double latches snap closed to keep the lid on tight. The Igloo Polar 120 Cooler has a threaded drain plug that allows for a hose hook-up.

"
