,description
851,"This handheld two sided mirror features an 8x distortion free glass on one side and 1x reverse side, plus the included stand allows for hands free use of the 5-inch size mirror, which allows you to see the tiniest detail even without eyeglasses.

"
852,"Fruit of the Earth Aloe Vera Cream 4 Oz. Jars(2 Pack)

"
853,"Fruit of the Earth Aloe Vera 100% Gel has no color additives and provides a pure, refreshing experience for your skin whenever it needs it most. It's made from fresh aloe vera leaves and provides non-oily moisturizing directly to your skin.

"
854,"Freeze that style into place with got2b Blasting Freeze Spray. Spray through hair carelessly for that sexy, messy look or twist tips into spikes for outrageous hold that will last until your next shampoo. Only for stuck up styles and extreme rock hard hair. Cool Tip: For over the top spikes, spray heavily and twist tips. Allow to dry and finish with an additional blast. For that messy look, spray hair from root to end and massage with fingertips in a circular motion. Finish with a direct blast to cement your style. To scrunch, layer Glued Spiking Glue through wet hair and finish with blasting freeze spray.

"
855,"The Alterna CAVIAR Professional Styling Working Hair Spray is an ultra dry, brushable hair spray. This ultra-dry hairspray with progressive control provides humidity resistance with a flexible, yet brushable light to medium hold. Hold level 3. Ingredients : SD Alcohol 40-B (Alcohol Denat.), Hydrofluorocarbon 152A, Octylacrylamide/ Acrylates/Butylaminoethyl Methacrylate Copolymer, Aqua/Water/EAU, Caviar Extract, Fennel (Foeniculum Vulgare) Extract, Pikea Robusta Extract, Hydrolyzed Soy Protein, Saccharomyces (Lysate, Copper, Zinc) Ferment, Superoxide Dismutase, Lactoferrin, Retinyl Palmitate Polypeptide, Phospholipids, Corn Oligosaccharides, Panthenol, Cyclotetrailoxane, Cyclopentasiloxane, Aminomethyl Propanol, Peptone, Glycine max (Soybean) Symbiosome Lysate, Adenosine Triphosphate, Niacinamide Polypeptide (Vitamin B3), Ascorbic Acid Polypeptide, Pantothenic Acid Polypeptide (Vitamin B5), Acetyl Methionine, Acetyl Serine, Phenyl Trimethicone, Triethyl Citrate, PEG/PPG-17/18 Dimethicone, Pentaerythrityl Tetracaprylate/Tetracaprate, PPG-5-Ceteth-20, PPG-2 Myristyl Ether Propionate, Copper Oxidase, Amino Acyl tRNA Synthetase, Magnesium Sulfate, Propylene Glycol, Fragrance (Parfum), Benzyl Benzoate, Benzyl Salicylate, Citronellol, Geraniol, Hydroxyisohexyl 3-cyclohexene carboxaldehyde, Alpha-Methyl Ionone, Butylphenyl Methylpropional.

We create innovative haircare and styling products inspired by skincare science and formulated with pure and effective ingredients, designed to deliver performance without compromise for an exceptionally luxurious experience

"
856,"Gently removes make-up and cleanses skin. Discover the Swiss Secrets for Visibly Healthy Skin: St. Ives captures these secrets in a gentle, non-drying cream formula that effortlessly removes even the heaviest makeup. Deep cleans for soft, smooth, visibility healthy skin. Pure Swiss Glacial Water: Nature's pure form of moisture. Swiss Botanicals: Skin nourishing. Chamomile: Smoothing and softening. Dermatologist tested. Hypo-allergenic. This product was not tested on animals.

"
857,"When you lose control, bad things happen. Keep your hair on lock with our ultra-lightweight TRESemmé Extra Hold Mousse that delivers maximum hold and control, without stiffness or stickiness. Finding someone who is flexible and controlling is hard. Luckily, that doesn’t apply to hair. The professional-quality formulas in our Extra Hold Collection are designed to give you total control of your tresses with enough flexibility to style. Next time you need to shape your style, start with Extra-Firm Hair Mousse it to keep flyaways and stray hair at bay without piling on layers of thick sticky, crunch. TRES TWO Extra-Firm Hair Mousse contains holding isopolymers to expertly iron out stray hairs for controlled styles that are flexible, not flat, and always beautifully full. Since it’s alcohol-free, you also won’t have to worry about over-drying hair. Start by prepping your hair with your favorite TRESemmé shampoo and conditioner. Towel dry hair, shake can and dispense 2-3 egg sized dollops of TRESemmé Extra Hold Mousse. Apply the mousse to hair either directly with a brush or with your hands then brush from roots to ends to cover thoroughly. Blow dry your hair and finish off with TRESemmé Hair Spray. Our Volumizing TRESemmé Extra Hold Mousse delivers maximum hold and control, without stiffness or stickiness.

"
858,"24 hour body healthy volume shampoo has a professional performance formula that rinses completely for weightless, healthy volume. It is designed for hair that lacks volume. It adds fullness and volume without weighing hair down. This shampoo is formulated with silk protein and pro vitamin B5.



TRESemmé 24 Hour Body Shampoo, Conditioner, Finishing Spray, Foaming Mousse, Non Aerosol Hair Spray, Blow Dry 24 Hour Body Lotion

The TRESemmé 24 Hour Body Shampoo & Conditioner system will help maintain all day volume and bounce, making your hair manageable without leaving it weighed down. Our system, made with a unique Volume Control Complex and silk proteins, helps keep your hair from falling flat while providing a perfect level of conditioning. Formulated to be light enough for daily use.

The Formulation: The formula, with silk proteins, creates enviable softness and volumizing ingredients won't leave buildup behind. Plus, this volumizing shampoo is lightweight for everyday use.

The Effect: Enjoy shine, softness and the ultimate body and bounce--every hour of the day.

Recommended For: Straight hair. Volume. Oily Hair. Damage Repair. Wavy Hair.

1. Coat wet hair with a liberal amount of shampoo.

2. Gently massage the scalp and roots with fingertips to work into a lather.

3. Lightly squeeze the shampoo from the roots to ends and rinse thoroughly.

4. Finish with 24 Hour Body Conditioner and style with your favorite 24 Hour Body styling products.

TRESemmé 24 Hour Body Shampoo, 32 Ounces.



"
859,"Andis High Heat Ceramic Hair Flattening Iron, Black (67095).

"
860,"RC-2 1875W Hair Dryer Product Type: Hair Dryer Technical Information Heating Element: Ceramic Drying Technology: Ionic Number of Air Flow Settings: 3 Number of Heat Settings: 3 Power Description Power Source: AC Supply Input Voltage: 125 V AC Power Consumption: 1875 W Physical Characteristics Form Factor: Handheld Miscellaneous Package Contents: RC-2 1875W Hair Dryer Concentrator Warranty Standard Warranty: 5 Year.

"
861,"1600 Watts of drying power Mid-size pistol styling dryer Four heat and two air settings Lightweight and compact size Contoured handle for comfortable grip Heavy-duty cord ALCI in plug

"
862,"Andis 1600-Watt MicroTurbo Dual Voltage Hair Dryer, White (33805).

"
863,"Self adjusting color for a natural-looking tan. Streak-free. Oil-free. Quick-drying. Banana Boat Summer Color Sunless Tanning Lotion with the Self Adjusting Color formula lets you control the shade of your tan. This lotion will allow you to get deepest, richest tan that is achievable with your skin tone. The more often you apply, the deeper your tan becomes. After achieving your desired color, you can maintain your tan with less frequent applications for a natural-looking tan. It is oil-free and enriched with Aloe Vera and Vitamin E. Made in Canada.

"
864,
865,"A great skin booster infused with a high powered vitamin c complex to help smooth out lines and wrinkles while preventing further damage loaded with anti-oxidants to fight off environment aggressors and moisture-binding ingredients to hydrate and keep your skin nourished and protected

"
866,"A luxurious, aromatic gel mask that will renew and condition sensitive skin

"
867,
868,"Revlon Hair Tools is dedicated to helping women achieve beautiful hair they'll love! Whether women desire gorgeous blowouts, big enviable waves, striking straight locks, or the perfect fashion accessory to complete the look, Revlon has the styling tools you desire. Our Essentials line provides you with your everyday essentials! About the product: This ultra-lightweight design quickly dries hair to deliver silky, smooth blowouts. This hair dryer is equipped with 3 heat and speed settings for styling versatility to achieve the look you love. Plus, added Concentrator attachment gives you maximum precision. With hanging ring for easy storage. PLEASE NOTE that wattage of this appliance may vary depending on the location of use.

"
869,"Buy Hask Placenta Hair & Scalp Treatments - Hask Placenta Henna 'n' Placenta for Extremely Damaged Hair 237ml/8oz. How-to-Use: Shampoo and towel dry hair. Massage a generous amount into the hair. Warm with hair dryer or wrap in hot towel for 10 minutes. Rinse and style as usual.

"
870,"Hollywood Beauty Tea Tree Oil Skin and Scalp Treatment A natural preventative for mild cases of anhydrosis (dry skin), this oil's natural ingredients are widely believed to have healing and restorative properties. Our seven natural oils along with vitamin E and aloe vera will leave your skin, scalp and nails soft and clean. Dry skin and scalp: Gently massage a small amount on areas of dryness. Avoid areas with open wounds or abrasions. Nail treatment: For toe or finger nails mix tea tree oil with warm water and soak for five minutes.

"
871,"Brand New! Factory Direct! Packaging May Vary!

"
872,"Lusters Scurl No Drip Activator Moisturizer 32 ounces

"
873,"Repairs split ends. Fights hair breakage. Hot oil. Hair and scalp oil. Body and massage oil.

"
874,"L'Oreal Oreor 30 Volume Creme creates beautiful, uniform color results every time.

"
875,"L' Oreal Oreor 40-Volume Creme Developer mixes easily with chosen hair coloring product to provide permanent color change. Has a very strong lightening action without color deposit.   Use 40 Volume for lifting action up to 4 levels or for use with lightening products. The rich, creamy formula gives you easy application and beautiful uniform results every time.

"
876,"Measures 4"" Item #75883 Medium blades Neatly trims, thin, delicate, cuticles & hangnails Spring action for control & precision Stainless steel

"
877,"test

"
878,"Loreal Quick Blue Powder Bleach Extra Strength, Lifts Up to Seven Levels and will achieve various effects, from the very subtle highlights all the way to global sheerest platinum, in one simple application. Quick, controlled Lightening action in a dust-free, concentrated formula. Now for ON & OFF scalp application. Stays moist and creamy throughout application and processing, so there is no remixing needed during application.

"
879,
880,"Rothco makes quality outdoor and sports gear for all types of situation. Whether you are in a combat intensive environment, or if you are a recreational user, rothco will fit the lifestyle of many. Quality tested and performance driven, use rothco.

"
881,"This color covers in just one coat, brilliantly. The perfectionist brush contours to any nail, so color always glides on precisely, quickly, flawlessly. It combines beautiful, brilliant shine and super strong wear.

"
882,"Moisten cotton lightly with cuticle oil and apply to finger nails For deeper penetration cuticle oil may be warmed to aid in softening the cuticles and help restore dry brittle nail.

"
883,"Pure Acetone, 16 Fluid Ounce This product is Manufactured in United States.

"
884,"0.45 fl oz (13.3 ml)Sally Hansen Natural Nails Growth Activator marine extract treatment the secret to beautiful nails in 5 days results guaranteed.

"
885,"Supernail has been well known for over 35 years for their superior products for both the professional and the at-home nail care enthusiast. Whether you are caring for real or enhanced nails, Supernail provides a complete selection of wants and needs to achieve beautifully crafted manicured hands and feet.

"
886,"Sally Hansen No Chip Acrylic Top Coat, protects your nail color against chipping. Our Acrylic formula dries to a high-gloss finish, shielding nails with ultra-hard protection. Sally Hansen No Chip Top Coat gets the job done - for a super-smooth, high-shine manicure that lasts. Apply 1 coat of No Chip Top Coat over dry nail color & under nail tips for extra protection. No Chip Top Coat adds a hard, glossy acrylic shield to your nail-care arsenal. Step into your always-on salon.

"
887,"Mane N Tail Hair Strengthener Daily Leave-In Conditioning Hair Treatment, Daily Leave-In Conditioning Treatment for chemically and heat damaged hair. Hair Strengthener is an advanced daily use protective formula that increases and maintains hair strength. Provides essential protection from excessive heat and chemical styling to help reduce split ends. Hair strengthener rejuvenates hairs natural elasticity and strength with proven results for healthier, stronger and longer hair. Provides additional moisturizing and conditioning protection.

"
888,"The Original Mane 'n Tail Maximum Herbal-Gro Now you can discover the secret behind luxuriously silky, healthy hair. Maximum Herbal-Gro is an advanced herbal styling and conditioning solution. Herbal-Gro utilizes the natural power of herbs in an exclusively prepared formula to transform dull lifeless hair and dry scalp into beautiful hair and a healthy conditioned scalp. Maximum Herbal-Gro Benefits: Promotes stronger, healthier, shinier hair More nourishment and conditionings for your scalp Helps stop and prevent breakage and split ends Revitalizes, strengthens and moisturizes dry, damaged and relaxed or colored hair for coarse thick hair.

"
889,"Brings out your natural highlights! Conditions while it lightens! The advanced conditioning system in Sun In, with botanical extracts such as aloe, marigold, chamomile and flaxseed, pampers your hair while it lightens. Special illuminations give hair an extra healthy dose of shine for a bright and sexy look. Sun In is alcohol free. Sun In is recommended for blonde to medium brown hair. Reddish results may occur in dark brown hair. Highlights will be permanent. Contains no metallic dyes. Results may vary.

"
890,"Dkny Be Delicious Eau De Parfum Spray 1 Oz / 30 Ml for Women by Donna Karan

"
891,"Sally Hansen Hansen Hansen nail Treatment 45311 cuticle massage cream Net, infused with apricot Oil, It moisturizes rough cuticles and soothes painful hangnails. Rich, emollient cream absorbs quickly, helping prevent drying and cracking.

"
892,"Sally Hansen double duty is a 2-in-1 base and top coat that protects and strengthens nails. This all-in-one patented strengthening base and top coat works double time, for double protection. As a base coat, double duty moisturizes and hydrates nails with panthenol. As a top coat, double duty protects with nylon. Nails are shielded with a hard, shiny, chip-resistant finish.

"
893,"INDICATIONS: Sally Hansen Airbrush Face Self Tanner Enriched with Retinol and Vitamins so skin looks soft, smooth and radiant. You'll start to see a natural-looking streak-free tan in just one hour. Won't stain clothes or transfer. One shade works for every skin tone. Two formulas: Especially for Face and Especially for Body. INDICATIONS: Sally Hansen Airbrush Face Self Tanner Enriched with Retinol and Vitamins so skin looks soft, smooth and radiant. You'll start to see a natural-looking streak-free tan in just one hour. Won't stain clothes or transfer. One shade works for every skin tone. Two formulas: Especially for Face and Especially for Body.

"
894,"Sally Hansen Vitamin E Nail & Cuticle Oil, nourishes and moisturizes dry nails and cuticles. Our natural essential oil complex with Vitamin E, Apricot Kernel and Aloe conditions cuticles while increasing nail flexibility.

"
895,"Revitalize and restore your skin with Village Naturals Bath Shoppe Moisturizing Milk Bath, designed for ultimate relaxation. Enjoy intoxicating aromatherapy as you soak your skin in conditioning chamomile and luscious lavender for an intensely hydrating bath time experience.

"
896,"Wella Color Charm Liquid Permanent Hair Color with Liquifuse technology to ensure consistent, predictable results. The packaging utilizes a color-coded tonal family system, making shade selection easy! The technology saturates, penetrates and fuses with the hair to deliver vibrant color that is exceptionally fade resistant. A gentle floral fragrance for a more pleasurable coloring experience.

"
897,
898,"Light Mountain (r) Natural Hair Color and Conditioner The premier natural hair color and conditioner product line. Choose from our original line with the famous ""henna animals"" in 12 shades, or our unique Color the Gray line with 8 shades. We use no chemicals and no synthetic ingredients, only pure premium henna and other botanicals. We have been blending henna based natural hair colors since the early 1980's and are the leading totally natural line in the natural products industry. The Doctors Prescription for Healthy Living Newsletter (by the people who did the Safe Shopper's Bible, Freedom Press, Topanga California) rated our product the only one they found that was totally safe and chemical free. Henna hair color is also recommended in The Breast Cancer Prevention Program by Dr. Samuel Epstein and David Steinman (Macmillan, 1997) This is an excellent book that goes into great detail with information about the dangers of commercial chemical hair dyes, the increased cancer risks, and other associated problems. Our product is also specifically recommended in Being a Woman Naturally by Dr. Jan McBarron (Freedom Press, 2002). After describing the health risks of chemical hair dyes, she points out that Light Mountain Natural Hair Color and Color the Gray are safe, natural alternatives to the dangerous commercial hair dyes. Henna is the only natural hair color with an FDA monograph for safe and effective use as a natural hair color. Light Mountain uses NO PPD, No Ammonia, No Peroxide, No Chemicals whatsoever. Each batch of our premium grade henna is tested to ensure that it has no contaminants such as heavy metals or pesticides.

"
899,"This Product is Organic Vitamin C For Yourself Serum. The Shelf Life of the Product 730. Easy to Use. This product is Manufactured in United States.

"
900,"Nature's Gate Organics Oh What a Night. Luxuriously rich cream soothes and intensely hydrates with dynamic phyto-actives. Includes alpha lipoic acid and a potent form of stabilized vitamin C that works while you sleep. Skin look refreshed and feels silky soft with improved suppleness and clarity.

"
901,
902,
903,"Convenient pencil creates perfectly defined, natural-looking brows. Ultra-fine tip fills even the smallest gaps with precise, hair-like strokes. Automatically self-sharpens; glides on without skipping or tugging. Colour lasts all day.

"
904,
905,
906,
907,"Clinique Quickliner for Eyes 07 Really Black

"
908,
909,"Fine exfoliating cream. Contains an exciting new choice advantage. De-flakes. polishes. clears pores. refines. Suitable for all skin types.

How To Use

Massage over makeup-free skin, avoiding eye area. Rinse or tissue off. Follow with your customized 3-Step Skin Care System.

Step 1: Cleanse: Non-drying formulas leave all skins feeling fresh, clean, and comfortable. Step 2: Exfoliate: Sweeps away pollution, excess oil, dulling flakes to reveal fresher skin. Step 3: Moisturize: Gives the skin the ""drink"" it needs to maintain optimal moisture balance.

"
910,"Clinique Take the Day Off Makeup Remover for Lids, Lashes & Lips 125ml/4.2oz

"
911,
912,
913,
914,"For incredibly soft skin.

"
915,"Dust yourself with this naturally naughty, perfectly natural bronzer. Enjoy year round bronzed perfection with the most natural and skin-perfecting glow this side of the Caribbean. The silky golden bronze warmth combined with a delicate pink, white shimmer, and fawn shimmer mimics a natural ""just-back-from-vacation"" glow.

"
916,"If you have sensitive skin, you know all too well that it needs special care — and how much of a relief it is to find a body wash that does just that. Like the Dove Sensitive Skin Body Wash, a hypoallergenic body wash that is dermatologist recommended and looks after sensitive skin. A sulfate free body wash, this gentle skin cleanser uses Dove’s NutriumMoisture technology to replenish nutrients and maintain your skin’s natural moisture barrier and microbiome as you wash. Dove Sensitive Skin helps give you softer and smoother skin after just one shower, unlike our typical bath soap or bath gel. For best use, squeeze the moisturizing body wash into your hand and work it into a rich lather. Massage it over your skin, concentrating on areas that feel a little drier than usual. Rinse off, revealing soft, smooth skin. Made with 100% gentle cleansers, Dove Body Wash is gentle to skin’s microbiome, its living protective layer. It creates a rich lather that moisturizes and replenishes skin while also leaving it cleansed and feeling cared for. Dove Body Wash is the #1 dermatologist recommended body wash. At Dove, our vision is of a world where beauty is a source of confidence, and not anxiety. Our mission is to help the next generation of women develop a positive relationship with the way they look, helping them raise their self-esteem and realize their full potential.

By Dove

"
917,"Launched by the design house of Dolce & Gabbana in 2001 DOLCE & GABBANA LIGHT BLUE PERFUME is a scent of an exquisite fragrance.

"
918,"Renew worn-out locks and invigorate the scalp with the refreshing tingle of tea tree. Infused with a botanical blend, this moisturizing conditioner detangles, softens, smoothes strands for instant manageability while its fresh scent leaves hair smelling great. For a limited time, the liter size (33.8 fl. oz.) features a bold, geometric leaf print to decorate your shower shelf, showing our promise to plant one million trees and our love of botanicals. Hair Type: Ideal for All Hair Types. Fragrance: The reviving scent of tea tree provides an invigorating aromatherapy experience like no other. Why is it so special? Contains the famous Tingle Complex—a blend of tea tree, peppermint and lavender that leaves a cooling, ""tingling"" sensation on the scalp. Sustainable Packaging: As part of our long-standing commitment to the environment, our products are phasing into PCR* (post-consumer recycled) packaging, as noted by this symbol. *Percentage varies.

Tea Tree is botanical hair care from John Paul Mitchell Systems—the leader of salon-quality products that is committed to the professional beauty industry. Every purchase supports JPMS salons with a commission.

"
919,"Guess Eau De Parfum Spray 2.5 Oz/ 75 Ml for Women by Parlux Fragrances

"
920,"The BaBylissPRO Ceramix Xtreme 2000-watt dryer uses ceramic technology for extra-gentle, even, far-infrared heat that protects hair from damage. The extended narrow barrel helps to maximize the 'Xtreme' air pressure & the professional AC motor ensures many hours of drying time. Six heat & speed setting are available & the soft, rubberized housing is comfortable to handle. There's a cold shot button to lock in style, plus a narrow concentrator nozzle, & a 9-foot professional grade cord for easy maneuverability. With a professional-level motor & extra-high wattage, this high-quality, lightweight blow dryer can do it all.

BaBylissPRO is the world’s leading producer of innovative, high-performance professional styling tools. Chosen by hairdressers, barbers, and clients everywhere, BabylissPRO styling tools are versatile and engineered to last.

"
921,"The BaBylissPRO Porcelain Ceramic 1-1/2"" Straightening Iron distributes even heat across the plates & generates efficient far-infrared heat, which is gentler on hair. An antistatic removable comb securely guides hair & a curved handle design provides an ergonomic grip for comfort. The iron is dual voltage for worldwide use. This ceramic flat iron has instant heat-up & recovery. With a rheostat temperature dial up to 430F, our hair straightener delivers sleek, smoother, shinier hair styles.

BaBylissPRO is the world’s leading producer of innovative, high-performance professional styling tools. Chosen by hairdressers, barbers, and clients everywhere, BabylissPRO styling tools are versatile and engineered to last.

"
922,"

Designed to protect baby-soft skin, Blue Lizard Australian Sunscreen's mineral Baby sunscreen contains no chemical sunscreen ingredients, no parabens and no fragrances. Using only Zinc Oxide and Titanium Dioxide, our Baby sunscreen protects you and your little one by acting like thousands of tiny mirrors that reflect UV rays away. The SPF 30+ formula provides true broad spectrum protection from 97% of the sun's burning rays.

We love the reef! Baby’s water-resistant formula is made without Oxybenzone or Octinoxate to help protect fragile reef ecosystems.

We’re committed to spreading sun safety awareness. Our Smart Bottle Technology makes teaching kids to play safe in the sun easy. Watch the bottle turn pink in harmful UV light as a reminder that it’s time for sunscreen.

Blue Lizard Australian Sunscreen is the #1 pediatrician recommended mineral-based sunscreen brand and has been trusted by dermatologists for over 20 years.



"
923,"Rusk Thermal STR8 Protective Shine Spray 4.4 Oz. Rusk Thermal STR8 liquids condition and protect the hair internally and externally UVA/UVB sunscreens, exclusive Thermplex heat protection combined with Ceramix Complex leave hair smooth, silky-soft, sleek and shiny. Apply liberally onto wet or dry hair. The heat from the dryer or iron will enhance the effects of the conditioning agents.

"
924,
925,"Contains Dove moisturizing cream;Softens and smoothes skin;Doesn't dry skin like soap;Rinses cleaner than soap;Dove Beauty Bar is the #1 choice of dermatologists

"
926,"Classic Refillable Perfume Spray in shiny metallic silver. Atomizer is composed of 4 parts: top, bottom, sprayer and glass bottle. Can be refilled with any fragrance. Sold at a discounted price as these are new but have minor cosmetic blemishes such as small dents on the outer metal casing. Does not affect product usage.

"
927,"This special formula treats dry skin and hair with the natural moisture-binder, Na-PCA. This substance attracts moisture to make dry, parched skin and hair smooth and supple. Aloe Vera is included to soothe chapped skin. Two other oil-free moisturizers, Mucopolysaccharides and Simethicone, protect skin and hair while sunbathing and swimming. Sea water fives SeaPlasma Spray Moisturizer a healing, stimulating effect.

"
928,
929,
930,
931,"A peptide formulation for the eye area that improves the appearance of puffiness, dark circles and fine lines leaving a glowing, hydrated appearance.

PCA SKIN® was born in the treatment room over 30 years ago and has been a trusted professional skincare leader and innovator ever since. Developed by professionals for professionals, their expansive range of scientifically-proven skincare solutions provides transformative results for all skin types and concerns. Their vision is to improve people’s lives with products that are backed by science for the health of your unique skin.

"
932,
933,"This pocket-size Lansky Dual Grit, Multi-Purpose Sharpener is ideal for sharpening lawnmower blades, machetes, hatchets, axe blades, shovels and spades plus a variety of other cutting and chopping tools. The Puck’s easy-to-grip contoured shape, provides for safe, simple tool sharpening. Dual-Grit design provides a coarse side for quick cutting and shaping, and a medium side for final sharpening and finishing of your edge.

This pocket-size Lansky Dual-Grit, multi-purpose sharpener -- also known as ""The Puck"" -- is ideal for sharpening lawn mower blades, machetes, hatchets, axe blades, shovels and spades, and a variety of other cutting and chopping tools. Its easy-to-grip, contoured shape provides for safe, simple tool sharpening, and the Dual-Grit design provides a coarse side for quick cutting and shaping, and a medium side for final sharpening and finishing of your edge.

Warranty
This Lansky product includes a limited one-year manufacturer's warranty against defects in materials and workmanship.

"
934,
935,"Revive a tired-looking appearance with this cooling, soothing gel. Contains botanicals reported to tone, firm and reduce the appearance of puffiness in the eye area. Can be used as a mask or a leave-on product.

"
936,"Acne medication for the management of mild or occasional acne. It helps reduce the number of blackheads and acne pimples. Also helps prevent new acne pimples. Leaves skin free of excess oil.

"
937,"White radius double wall plastic jars with white PE lined dome caps provide a soft appeal when packaging a range of products. Radius double wall containers include inner and outer polypropylene walls, high durability and oxygen barriers, with rounded bottoms for an added layer of style. The white dome caps paired with these double wall plastic jars include the same rounded sides as the radius jars for a cohesive set. Be sure to consider these white radius double wall plastic jars with domed caps in a range of sizes for creams, lotions, and more.

"
938,"8 oz white plastic jar with flat lid

"
939,"Nailtiques Formula 2 Protein, .5 Ounce

"
940,"Mason Pearson Combs are manufactured in Switzerland by a contract manufacturing facility that ONLY makes combs. The same, strict, quality control standards followed in our brush making are applied to our combs. Mason Pearson combs are Hand Made from the finest celluloid material in the world. This is the same material used to make designer costume jewelry, hair ornaments, and eyewear. Look carefully at the “tortoise” pattern of our combs. You will notice, the “3D’ effect of the “shell” pattern. This is the result of an internationally patented process that replicates natural tortoise shell. The “plastic” comes to the factory in Switzerland from Italy in a sheet, where it is die-cut into general the general shapes of the comb styles. From that point, until the comb is finished, everything is done by hand. Each tooth is cut, one at a time, on a special saw. The comb is then tumbled in a polishing drum to smooth the surface. The next step is hand polishing to remove all burrs, sharp edges, and surface imperfections. Finally, it is buffed to create the high gloss finish.

By Mason Pearson

"
941,"Gentle deep cleanser that removes dull, dead skin cells to promote healthy-looking skin. Powerful multi-fruit AHAs and antioxidants purify pores and protect skin against environmental stressors while hydrating and correcting skin texture for a radiant complexion. 4.2 fl oz. Made without GMO, gluten, parabens, petroleum, phthalates, silicones, sulfates, ureas, artificial fragrances and artificial colors. This product is vegan friendly and cruelty-free. Actual packaging may vary.

"
942,"Simple and deep hydration can make dry skin look beautiful and radiant and feel soft and pampered. Ponds Caring Classic Extra-Rich Dry Skin Cream is a gentle cream that enhances the health of your skin in a very loving way.

"
943,"For the most up to date information, we recommend you visit the manufacturer website for the best product details, including ingredients, hazards, directions and warnings. This product offering is for 1 Retail Package

"
944,"Shea Moisture Leave-In Conditioner 8 Oz.

"
945,"(very light neutral, for all skin tones) This multitasking miracle 'per-fekts' and enhances the skin offering an alternative to traditional foundation/primer. The all-in-one vitamin enriched, sweat-resistant and water-resistant formulation glid (1 oz)

"
946,"Full of herbs and vitamins that condition hair and soothe the scalp, this rich elixir smoothest away tangles and helps styling products adhere evenly. Great for natural looks.

"
947,"For amazing combabability, the perfect amount of volume and hold - excellent for heat styling fine, delicate or processed hair.

"
948,"A deep, weekly cleanser that lifts away product residue and built-up pollutants for more vibrant, healthy-looking hair. Pollutant buildup, hard water minerals, and other residues that can cause lifeless, dull-looking locks.

"
949,"It moisturizes without weight, protects and contains a silk powder which adheres to hair strands and separates for fullness. Volumizing silk microfiber technology from styling products applied to a conditioner.

"
950,"It's pretty much what it says it is (only it's not just for fine hair). It's for blow-drying, setting, protecting from heat and adding volume, lift and control.

"
951,"Romantic vision meets the science of spirals - lightweight, supple support and soft lustre for shamelessly shapely curls and sexy, textural waves. Contains an amazing curl-enhancing ingredient (US patent pending).

"
952,"-
One 10-ounce bottle of hair styling spray
-
A sturdy finishing lacquer with a firm hand and an eye for discipline
-
Gives real control for high-maintenance styles like beehives and mohawks, but brushes out easily too
-
Enjoy strong hold from this fine aerosol mist with no residue and no flakes
-
This item is not for sale in Catalina Island

"
953,"Defrizz smoothes and tames, leaving hair shiny and amazingly soft.

"
954,"Kerastase Nutritive Bain Satin 2 Complete Nutrition Shampoo For Dry and Sensitised Hair, 8.5 Oz.

"
955,"A mild, moisturizing cleanser made with marine extracts from the great green seas. This conditioner for normal hair nourishes without adding weight, leaving hair clean but not stripped shiny, and fresh.

"
956,"A styling aid for smooth grooming. Enriched of vitamins complex, herbs and tea tree oil. Helps detangle hair, refresh head, nourish hair and sooth scalp. Leaves hair perfectly healthy and manageable. To use: Spray on wet or dry hair and comb through.

"
957,"Kerastase Resistance Bain Volumifique Thickening Effect Shampoo 8.5 Oz

"
958,"A hair styling hydrator. Offers natural definition and delicate hold. Creates a supple, satiny low-shine finish. Ideal for dry, thick, rough and lack-of-texture hair. Also great for men, or those who want light and quick styling. To use: Begin with a very small amount and add-on as needed. Apply onto wet hair with fingers to shag, finish with a comb.

"
959,"Aja, one of our top stylists, requested this conditioner that can be left in hair or rinsed out to tame frizz, detangle, and moisturize without feeling gummy.

"
960,"Loved for its versatility and simple strength - slick back, add body, lift roots or define curl. The more you use, the more it holds whether hair is wet or dry. To be used after Prep or Tonic Lotion and before styling. To Use: Work through damp hair and style; use it with heat like a mousse to create manageable volume, or without like a gel for control.

"
961,"Bumble and Bumble Surf Spray, 4.2 Ounce Bottle

"
962,"Kerastase is one of the leading Hair Care brands on the market today. We offer up to 30% discount on all Kerastase products.

"
963,
964,"Helps create feeble, slept-in and charming look with separation. Develops a sleek texture and gloss. Can be applied on its own or with other styling products. Ideal for thick, rough or dry hair. To use: start with the smallest bit and build up as needed. Apply onto palm, work through wet hair with fingers to shag or brush to smooth.

"
965,"For the chemically dependent or seriously parched (color) junkies, styling abusers or sun worshippers): a protein masque to revive lifeless locks.

"
966,
