,description
177,"

For over four decades, the MXR PHASE 90 has been a mainstay on the pedal boards of millions of musicians around the globe. It doesn’t matter whether the genre is rock, metal, alternative, jazz, world-beat, or if the instrument is guitar, bass, keys, vocals, or strings: the Phase 90 has been there through it all to add its distinctly lush voice to a musician’s tone palette.

Since 1972, MXR has been a pioneer of the effects pedal market with the revolutionary development of tough and rugged stomp boxes, simple utilitarian designs, small sizes, and 100% rich analog tone. Today, Dunlop continues MXR's traditional pedal line of original MXR classics, as well as new modern classics like the Carbon Copy and Fullbore Metal. However, MXR continues to inspire with new designs. The MXR Custom Shop faithfully resurrects recreations of the long-lost vintage models such as the hand-wired Phase 45, as well as doing limited runs of pedals featuring premium components and highly modified designs, such as the new Custom Comp.

Located in Benicia, Calif., Dunlop Manufacturing, Inc. was founded as a small, family-owned and operated company in 1965, and has since grown to be a leading manufacturer of electronic effects, picks, capos, slides, strings and other musical instrument accessories. Dunlop is the home of such legendary products as the Crybaby wah and Tortex picks.



"
178,"Protect your mics against wind interference and singers' spit with an On Stage Foam Ball-Type Mic Windscreen. Designed for normal sized handheld mics similar in design to a Shure SM58, these colorful foam windscreens fit most mics. They are not designed for use with headset microphones. For nearly 20 years, The Music People! Inc. has been one of the nation's leading suppliers of microphones and pro audio equipment. The Music People! Inc. also owns and manufactures On-Stage Stands support stands. Founded on a promise of quality, innovation and customer service, The Music People! Inc. is committed to the needs of music professionals throughout the world.

"
179,"This break-resistant, swivel adapter features a soft cradle for models 849, SM48, SM57, SM58, SM87A, SM94, Beta 57A, Beta 87, 515X, 545, 565, 588SDX, and BG1.1, 2.1, 3.1, 4.1 and 5.1. For nearly 20 years, The Music People! Inc. has been one of the nation’s leading suppliers of microphones and pro audio equipment. The Music People! Inc. also owns and manufactures On-Stage Stands® support stands. Founded on a promise of quality, innovation and customer service, The Music People! Inc. is committed to the needs of music professionals throughout the world.

"
180,"Includes 12, 13, and 16 in. Pinstripe heads and a 14 in. coated Emperor X Black Dot snare head. This Remo Pinstripe Value Pack with free coated Emperor X snare head includes 12, 13, and 16 in. Pinstripe heads, plus a free 14 in. coated Emperor X Black Dot snare head. There's no question that these Remo Pinstripe drum heads are a great value.

"
181,"An affordable and convenient way to connect side-input/output effect pedals. This 6-inch cable has right angle plugs so you can place your pedals very close together without unnecessary lengths of cable lying on the floor. This works to clean up your rig and eliminate unwanted noise. Hosa's injection-molded cable terminations, for which they have become famous, have a built-in strain relief and carry their no-questions-asked Limited Lifetime Warranty. Recording studios, stage racks, keyboards and effects devices all can be connected with molded assemblies like their CPP-, CPR-, and CRA-series cables and snakes which perform just as well as much more expensive cables with metal-headshell assemblies. Hosa began business in 1984 with the belief that less-expensive doesn't have to mean ""cheaper"", and that it simply isn't necessary to connect your equipment with ""NASA-approved"", gold-plated cables thick enough to tow an eighteen-wheeler. So, if you can't afford to spend a week's equipment allowance for a few cables then look no further than the Hosa brand for professional cables that work as hard as you do. In the regular Hosa line, they pay strict attention to the basics of cable design and construction. They make sure that their cables are well-shielded from external sources of radio-frequency and current-induced noise and that they're of the proper gauge and of high copper purity to ensure low capacitance. In addition, Hosa uses correct soldering techniques to eliminate ""cold-solder"" joints which could cause intermittent connections or ""ground hums"". And finally they make sure that the jacket and head-shell/strain-relief combination are rugged enough to withstand the rigors of the intended application. Hosa provides all of these benefits in every cable they make, and they back them up with a Limited Lifetime Warranty.

"
182,"The MXR has six bands, each based one octave apart with boost and cut 18 dB on each band. Equalizes complete response range from electric guitar to bass - 100Hz to 3.2kHz. Also great for pickups on acoustic guitars.

"
183,"

The Jasmine S-34C is a stylish grand orchestra-style guitar with a rich, well-balanced sound and a graceful Venetian-style cutaway that represent exceptional value. Great for any player seeking a well-built and easy-playing guitar, the S-34C features a select spruce top with Jasmine's Advanced ""X"" Bracing, and sapele back and sides. The slim neck and full 25 1/2"" scale length provide comfortable feel and excellent playability, and the smooth satin finish maximizes resonance for optimal sound quality.Other great features include a rosewood fingerboard and bridge, full body binding and chrome tuners.

If you look inside an acoustic guitar, you'll see a series of sculpted wood pieces attached to the underside of the instrument's top. These sculpted wood pieces comprise the guitar's bracing. The primary function of the bracing is to support and maintain the structural stability of the guitar's top. Bracing can also dramatically affect the way the guitar sounds, depending on how it's constructed and its arrangement (called the bracing pattern).

There are many different types of bracing patterns. The most common and enduring pattern used on steel-string acoustic guitars is called ""X"" bracing; so named for the two braces that form an ""X"" by crossing each other in the middle of the pattern.

Not all ""X"" bracing patterns are created equal, however. Jasmine's ""Advanced X Bracing"" system features a ""forward-shifted"" ""X"" bracing pattern that places the braces closer to the soundhole, producing a livelier, more open sound with improved definition and note detail.

The quartersawn braces provide exceptional stability, with a scalloped design that reduces weight and lets the top vibrate more freely, resulting in better sound. A solid rosewood bridge plate rounds out this remarkable package by providing superior balance and note separation.





The NEX guitar body is a scaled-down Jumbo at heart. It has a silky balance to the tone that supports vocals beautifully.

Jasmine guitars are designed by the same craftsmen who make the world's hottest-selling all wood acoustic guitar…takamine. this full-line consists of mini jumbos, dreadnoughts, 12-strings, cutaways and acoustic/electrics all with popular body styles and features for today's player. each model features all-wood construction, popular finishes, ping machines, durability, and quality, ""takamine level"" construction and d'addario exp strings for rich tone and long life and the woods notice the japanese laminated spruce tops (solid spruce tops on some models), the fully bound rosewood fingerboards. select jasmine models include a kmc music designed cp-100 in-bridge pickup and pre-amp system. an exlusive series of guitars at remarkably affordable prices.

Features





"
184,"The Planet Waves Microfiber Polishing cloth is designed to be safe on any surface while giving it a brilliant shine. The Planet Waves Microfiber Polishing Cloth is made of 80% polyester and 20% nylon. One strand is 10 times finer than silk and 100 times smaller than a human hair. Microfiber is preferred for its very lightweight, super absorbency, and rapid drying properties. The polishing cloth rapidly absorbs up to 7 times its weight in moisture and can be used safely on any surface. Polishes your guitar to a brilliant shine.

"
185,"X-Series® DigiVerb® Digital Reverb The DigiVerb™ pedal gives you an incredible selection of reverb types to choose from. These include a Spring reverb that sounds so real that you can almost hear it rattle inside the box. Different Plates that put excitement in your snare or vocals, and Rooms and Halls that breathe warm space and air into any instrument. Now you won’t be limited to trying to tweak a reverb to sound like something it’s not! Controls feature Level, EQ, Decay, and Type. Outputs for both pedals include Out 1 (Mono) and Out 2 for stereo operation.

"
186,"X-Series® Main Squeeze™ Compressor/Sustainer The Main Squeeze™ compressor/ sustainer pedal avoids those choppy compression release and sustain problems found on other pedals. It does this by incorporating studio-quality dbx® OverEasy™ compression technology that provides near-transparent compression, and delivers long, real-sounding sustain for your guitar. And you no longer have to grit your teeth hoping a ragged release doesn’t suddenly chop up the tail of a sustained note, or have to endure a compression that makes notes sound thin and lifeless. You even get an EQ control so you can perfectly tune your compressed sound, which is especially useful for guitar. Controls feature Level, Attack, EQ, and Sustain. Outputs feature Amp Out, Mixer Out.

"
187,"The potentiometer has a 250k ohm resistance suitable for the audio path of passive instruments. Behind the jack area under the footplate is a micro taper switch which provides the user two distinct volume swell rates. Overall Volume Pedal Junior dimensions: 3.5"" W x 10"" L x2 3/8"" H . The main pivot shaft is of centerless ground 1/2' diameter stainless steel, precision seated though nylon bushings at both ends. Tough long lasting Kevlar cable transmits pedal travel to the controls and is attached by stainless steel springs. Part number 6180.

New compact design allows more floor space. The potentiometer has a 250k ohm resistance suitable for the audio path of passive instruments. Behind the jack area under the footplate is a micro taper switch which provides the user two distinct volume swell rates. A tuner output is provided and allows silent tuning when the pedal is in the heel down position.
Product Number: 6180

The design and development of the Ernie Ball pedals has been a team effort of guitar players and craftspersons within our company. Pedal bodies are an aluminum extrusion rather than a casting resulting in greater strength, uniformity, and smoother surfaces. Clear anodized grain finish insures lasting beauty. Overall dimensions: 4"" W x 11"" L x 2.5"" H. The main pivot shaft is of centerless ground 1/2' diameter stainless steel, precision seated though nylon bushings at both ends. The large center shaft diameter, in addition the strength factor, creates a broader stress bearing surface. Our bodies and shafts are designed to give the player an indefinite service life! Deck mat of non-slip material is impervious to oil, alcohol, and most things you might spill on it. Quick disconnect wiring harness allows changing the pot without soldering. Tough long lasting Kevlar cable transmits pedal travel to the controls and is attached by stainless steel springs. This drive design results in smooth and quiet operation qualities lacking in gear driven models. Cycle tests are made on every pedal to insure perfect operation prior to packaging.

"
188,"74T is a 3"" (74mm) wide tubular strap with an internal pad. Available only in black, it's perfect for heavy bass guitars.



The Planet Waves 74T is a 3"" (74mm) wide tubular strap with an internal pad. Available only in black, it's perfect for heavy bass guitars.

Designed for players of all genres, Planet Waves woven straps offer designs that will please even the most discerning player. From iconic themes to unique patterns and artwork, these durable straps are sure to accent any guitar and are adjustable from 35"" to 59.5"" long.

Planet Waves, part of the D'Addario family of brands, is known for innovative, problem-solving, quality musical accessories. Planet Waves offers a complete line of award-winning accessories including cables, picks, tuners, capos, straps, humidifiers, maintenance tools and more.



"
189,"Planet Waves banjo straps have a rugged metal hook on each end to connect the straps to the banjo, and are available in black leather. Each strap is two inches wide and adjustable in length. The Planet Waves Classic Leather banjo strap is made of single-ply, black leather. The Planet Waves Soft Garment Leather with a tan, suede backing. Mandolin straps are also availabvle in brown or black.



This Planet Waves cradle style mandolin strap safely attaches to the instrument without risk of scratches or damage. Each strap is two inches wide and adjustable in length. Available in black leather.



Planet Waves, part of the D'Addario family of brands, is known for innovative, problem-solving, quality musical accessories. Planet Waves offers a complete line of award-winning accessories including cables, picks, tuners, capos, straps, humidifiers, maintenance tools and more.



"
190,"""Keep your mandolin safe and secure during play with a D’Addario Accessories (formerly Planet Waves) leather strap. The attractive and functional cradle-style strap is specially designed for mandolins. It is ¾” wide and adjustable in length for a customized fit. Made with premium leathers, D’Addario’s stylish leather mandolin strap is available in brown and black, and will complement your instrument. You can put all of your focus on the music knowing your mandolin strap safely attaches to your instrument without risk of scratches or damages. For over 20 years, D’Addario has been leading the industry in innovative and problem-solving products that serve musicians worldwide. D’Addario Accessories are proudly made in a state-of-the-art manufacturing facility to the most stringent quality controls in the industry. The D’Addario family’s heart, soul and love for making music is put into every accessory we create, and we never stop inspiring performance. ""



This Planet Waves cradle style mandolin strap safely attaches to the instrument without risk of scratches or damage. Each strap is two inches wide and adjustable in length. Available in brown leather.



Planet Waves, part of the D'Addario family of brands, is known for innovative, problem-solving, quality musical accessories. Planet Waves offers a complete line of award-winning accessories including cables, picks, tuners, capos, straps, humidifiers, maintenance tools and more.



"
191,"The 1 spot is the original 9V pedalboard power supply that only takes up one spot on an outlet strip or wall outlet. It solves an annoying problem that people have complained about For years, and does so with quiet, reliable performance.

"
192,"Multi-Plug 5 Cable for 1 SPOT Adapter. Connects the 1 SPOT with up to 5 pedals and can be connected to additional cables to power more pedals. Just a single 1 SPOT will power your entire pedalboard

"
193,"Made of ultratough nylon, so you won't lose your guitar during crash-and-burn solos. Adjustable length, 2"" wide strap. The fabric conforms to your body and adds a new level of comfort, yet it is strong enough to hold over 150 pounds! Nylon ClipLock Quick Release Guitar Straps adjust in length from 43 to 63 inches (109 -160 cm), measured between the strap buttons. DiMarzio ClipLock Quick Release Guitar Straps were the first to feature the heavy-duty plastic clip that allows you to easily change from guitar to guitar with a little fingertip pressure. It is the most secure and unique fastening method available to safeguard your guitar. ClipLock Quick Release Guitar Straps have been used for years by Steve Vai, Joe Satriani, Yngwie Malmsteen, John Petrucci and many other professional musicians. They are the industry standard for strength, security and quality. ClipLock Quick Release Guitar Straps completely replace your strap buttons and attach securely to your guitar with two sturdy bushings and extra-long screws sized to fit the strap bushing screw holes on most electric guitars and basses. All ClipLock straps are 2"" wide.

"
194,"Amazing polish formula is free of oily film & dusty powder. No wait to wipe off. 4 oz. bottle. 14 x 14 inch black Microfiber polish cloth. Part number 4222.

"
195,"Built for the discerning musician and the most demanding situations, Planet Waves offers built-to-last durability, while accurately transferring the subtle details of your tone through our exclusive In=Out technology. Cusom Series cables feature ultra-pure twisted pair, oxugen-free conductors with encapsulated soldering points formulated for extremely low capacitance. This ensures pure signal clarity and precise transmission of your instrument's true character. Additionally, two layers of impenetrable noise-rejecting shielding, coupled with unmatchesd strain relief, deliver the ultimate high-performance cable. And, all Planet Waves cables are guaranteed for life! Planet Waves Custom Series Instrument Cables feature gold plated connectors for superior signal flow and corrosion resistance. The right angle plug is a great choice for plugging into guitar side-mount jacks and effects pedals. The 10-foot length is ideal for shorter runs, such as guitar-to-pedalboard, and smaller stages. Planet Waves Custom Series cables utilize ultra-pure, oxygen-free copper conductors for low capacitance and pure tone. Encapsulated and impenetrable soldering points with double-molded strain relief provide maximum durability and worry-free reliability. Two layers of shielding provide 100% coverage for superior insulation and noise rejection, making this the ultimate, high-performance cable. Planet Waves cables are the ultimate musician's cable. Utilizing exclusive In=Out Technology for pure signal reproduction, Planet Waves cables are built tough to withstand gigs and come with a limited lifetime guarantee. Planet Waves is a part of the D'Addario and Co. family of brands, the global leader in musical accessories.



Planet Waves Custom Series Instrument Cables feature gold plated connectors for superior signal flow and corrosion resistance. The right angle plug is a great choice for plugging into guitar side-mount jacks and effects pedals. The 10-foot length is ideal for shorter runs, such as guitar-to-pedalboard, and smaller stages.

Planet Waves Custom Series cables utilize ultra-pure, oxygen-free copper conductors for low capacitance and pure tone. Encapsulated and impenetrable soldering points with double-molded strain relief provide maximum durability and worry-free reliability. Two layers of shielding provide 100% coverage for superior insulation and noise rejection, making this the ultimate, high-performance cable.

Planet Waves cables are the ultimate musician's cable. Utilizing exclusive In=Out Technology for pure signal reproduction, Planet Waves cables are built tough to withstand gigs and come with a limited lifetime guarantee. Planet Waves is a part of the D'Addario and Co. family of brands, the global leader in musical accessories.



"
196,"Pursue your passion with D’Addario’s bestselling electric guitar set, XL Nickel Wound Electric Guitar Strings. XL's deliver long lasting, legendary, distinctive bright tone and excellent intonation. They are the ideal electric guitar strings for the widest variety of guitars, genres and playing styles, making them the choice of countless professionals around the world. D’Addario leverages centuries of string-making experience and advanced computer-controlled winding technology to bring you the most durable, consistent and long-lasting guitar strings. Made in the USA for the highest quality and performance, only D’Addario strings are sealed inside and out. XL’s are precision wound with highly magnetic nickel-plated steel to exacting specifications onto a hexagonally shaped, high carbon steel core for strings with a tight wrap, bright tone, perfect intonation, stellar magnetic output, long life and reduced premature fret wear. And thanks to the corrosion resistant packaging, the strings in this 3-pack are always fresh. The string gauges in this electric string set include: Plain Steel .009, .011, .016, Nickel Wound .026, .036, .046 Since 1905, D’Addario has been providing artists and players with the tools they need to perform their magic. As musicians ourselves, we have the unique ability to engineer products that inspire other musicians. The D’Addario family’s vision, creativity, passion and tradition have made us the world’s largest musical instrument string manufacturer. We put our family’s heart, soul and love for making music into every string and instrument accessory we create, and we never stop inspiring performance.

"
197,"D'Addario XL Nickel Electric Bass strings are world-renowned as ""The Player's Choice"" amongst bass players of all genres and styles. All XL strings are precision wound on our exclusive computer-controlled machines, ensuring each string has excellent into nation, clear fundamentals, and unparalleled consistency. The nickelplated steel wrap wire is known for it's distinctive bright tone and excellent intonation and delivers a universally appealing tone for all playing styles.



EXL170, D'Addario's best-selling bass set and the standard for most electric basses, offers the ideal combination of bright, booming tone and comfortable feel. The most versatile and universally appealing set for all playing styles. Fits long scale basses with a string scale length of up to 36 1/4 inches.

D'Addario XL Nickel Wound Electric Bass strings are world-renowned as ""The Player's Choice"" amongst bass players of all genres and styles. All XL strings are precision wound on our exclusive digitally-controlled machines, ensuring each string has excellent intonation, clear fundamentals, and unparalleled consistency. Each string is wound with a nickelplated steel wrap wire known for distinctive bright tone with excellent magnetic output delivering a universally appealing and versatile tone for all playing styles.

D'Addario, the world's largest manufacturer of musical instrument strings, is known as The Players Choice with a reputation for unsurpassed quality and consistency. D'Addario's innovative packaging reduces waste and provides protection from corrosion. All D'Addario strings are manufactured in the U.S.A. using proprietary, digitally controlled, state-of-the-art machinery for unmatched performance, set after set.



"
198,"Pursue your passion with D’Addario’s most popular acoustic guitar string set, the Phosphor Bronze Acoustic Guitar Strings. Pioneered by D’Addario in 1974, phosphor strings are known for superb tone and comfortable playability. These light acoustic guitar strings help you achieve amazing performances, as they offer a warm, bright and balanced acoustic tone with excellent intonation. They have become the stage and studio choice of top guitar professionals worldwide. D’Addario leverages centuries of string-making experience to bring you the most durable, consistent and enduring guitar strings. Made in the USA for the highest quality and performance, only D’Addario strings are sealed inside and out. They feature a precision wound corrosion resistant phosphor bronze wire that is carefully drawn around a hexagonally shaped, high-carbon steel core. The result is long lasting, bright sounding tone with excellent intonation. And thanks to the environmentally , corrosion resistant packaging, the strings are always fresh. The string gauges in this acoustic string set include: Plain Steel .011, .015, Phosphor Bronze Wound .022, .032, .042, .052. The six ""edges"" of the core wire bite into the softer wrap wire, securing it all along its length. Since 1905, D’Addario has been providing artists and players with the tools they need to perform their magic. As musicians ourselves, we have the unique ability to engineer products that inspire other musicians. The D’Addario family’s vision, creativity, passion and tradition have made us the world’s largest musical instrument string manufacturer. We put our family’s heart, soul and love for making music into every string and instrument accessory we create, and we never stop inspiring performance.

"
199,"80/20 Bronze Acoustic Guitar Strings are sometimes referred to as Brass strings. 80/20 Bronze strings are known for their crisp bright tone , and are popular with stage and studio professionals.



D'Addario's lightest gauge of acoustic strings, EJ10s are ideal for beginners or players who prefer a softer tone and easy bending.

80/20 Bronze, commonly referred to as brass, is the original acoustic string alloy selected by John D'Addario Sr. and John D'Angelico in the 1930s. 80/20 Bronze strings are popular for recording due to their crisp, deep and projecting tone and appeal to many traditionalists and vintage enthusiasts for their historical significance. All D'Addario acoustic strings are wound on a hexagonally shaped, high carbon steel core, resulting in long lasting, bright sounding tone with excellent intonation.

D'Addario, the world's largest manufacturer of musical instrument strings, is known as The Players Choice with a reputation for unsurpassed quality and consistency. D'Addario's innovative packaging reduces waste and provides protection from corrosion. All D'Addario strings are manufactured in the U.S.A. using proprietary, digitally controlled, state-of-the-art machinery for unmatched performance, set after set.



"
200,"The Pop is a universal windscreen for use with any microphone. Simply clamp it to the mic stand and position where desired. The sturdy wire mesh and frame ensure years of durability. Blue Microphones The Pop Universal Pop Filter Do not Miss!! The Pop is a universal windscreen for use with any microphone. Simply clamp it to the mic stand and position where desired. The sturdy wire mesh and frame ensure years of durability.

"
201,"EJ27N classical guitar strings are great for beginners and students. The set contains 3 clear nylon trebles and 3 silverplated copper wound on nylon basses. EJ27N Student Grade strings provide a warm long lasting tone.



D'Addario's EJ27N Classic Nylon guitar strings are great for beginners, students and professionals alike. This normal tension set contains 3 clear nylon trebles and 3 silver-plated copper wound basses for the optimal balance of warm and projecting, long lasting tone. This normal tension set is also available for fractional 1/2 and 3/4 size classical guitars.

D'Addario's EJ27 Classic Nylon guitar strings are great for beginners, students and professionals alike. Each set contains 3 clear nylon trebles and 3 silver-plated copper wound basses for the optimal balance of warm and projecting, long lasting tone. Each set is held to same high standards as our professional string sets and may be used for all players looking for an inexpensive, but reliable set. The normal tension set is available for full and fractional 1/2 and 3/4 size classical guitars.

D'Addario, the world's largest manufacturer of musical instrument strings, is known as The Players Choice with a reputation for unsurpassed quality and consistency. D'Addario's innovative packaging reduces waste and provides protection from corrosion. All D'Addario strings are manufactured in the U.S.A. using proprietary, digitally controlled, state-of-the-art machinery for unmatched performance, set after set.



"
202,"Easy to play and easy to own! Sporting a gorgeous finish, the Rogue RM-100A is a well-built, traditional A-model mandolin. It features clean workmanship throughout and projects a bright tone with lots of bark. Sporting a gorgeous finish, the Rogue RM-100A is a well-built, traditional A-model mandolin. It features clean workmanship throughout and projects a bright tone with lots of bark. With an easy-to-play neck and adjustable bridge, the RM-100A is perfect for beginners who wish to play bluegrass or any other style of music. Finishing touches include chrome tuners and nickel-plated frets. Case sold separately

"
203,"D'Addario J65 strings are made specifically for ukuleles. J65 ukulele strings are made from clear rectified nylon and provide a warm long lasting tone.



D'Addario J65 strings are designed for use with soprano ukuleles. Each string is made from our clear precision rectified nylon utilizing our proprietary center-less grinding technique which ensures that the roundness and dimension control of each string are unsurpassed. The result is a ukulele set with a warm and long lasting tone guaranteed to have absolutely perfect intonation each time. This set is optimized for usage with traditional ADF#B tuning.

D’Addario ukulele sets are available in a wide variety of gauges for all popular ukulele instrument sizes and tunings. Each set is made from the finest quality nylon, aluminum and silver-plated copper materials ensuring optimal tone and absolutely perfect intonation, set after set.

D'Addario, the world's largest manufacturer of musical instrument strings, is known as The Players Choice with a reputation for unsurpassed quality and consistency. D'Addario's innovative packaging reduces waste and provides protection from corrosion. All D'Addario strings are manufactured in the U.S.A. using proprietary, digitally controlled, state-of-the-art machinery for unmatched performance, set after set.



"
204,"They're powerful, they're responsive, they're brilliant, and they have tons of punch. Cryogenic processing makes Blue Steel hold their tone a lot longer. Our frozen strings will warm your heart.LT .011 .014 .022w .030 .036 .046

"
205,"Pure blues electric guitar strings are constructed with a pure nickel wrap wire on a round core Wire to produce a distinctive warm and balanced sound with rich overtones and a vintage vibe. They create the unmistakable tone and feel of classic American rock and blues with chords that ring out sweet and round, while leads have more punchiness and sustain. They feel smooth and playable with a remarkably responsive touch.

PURE BLUES™ Electric Guitar Strings are constructed with a pure nickel wrap wire on a round core wire to produce a distinctive warm and balanced sound with rich overtones and a vintage vibe. They create the unmistakable tone and feel of classic American rock and blues with chords that ring out sweet and round, while leads have more punchiness and sustain. They feel smooth and playable with a remarkably responsive touch.

"
206,"Changing out your bridge pins is a great way to affect your sound without having to pick up a whole new guitar. By adding mass to the bridge, tone pins increase the clarity, sustain, and brightness of your overall tone. The brass look gives your guitar a more polished and classic appearance while the abalone inlay really adds something special. These pins aren’t just crafted for quality and sound, but for their sleek look and detail. The D’Andrea Tone Pins are designed to fit almost all brands of six string acoustic guitars. No matter who you are or what you’re playing these pins are the perfect option for your guitar, improving on both sound and styles. Many guitars come standard with plastic pins or an equivalent. D’Andrea offers a more reliable option with both power and longevity. These pins are machined from solid brass and designed to last. Package contains (1) D’Andrea Acoustic Guitar Brass Bridge Pins – Flat Top Design with Abalone Inlay. Machined from solid brass. Includes six bridge pins. Various styles as well as inlay options will complement any instrument.

"
207,"Efficiently connect your pedal effects with the low profile patch Cable by hose. Designed with right-angle plugs which allows for close spacing of pedal effects on pedalboards. Hose IRG6005 patch Cable features serviceable, all-metal plugs for live-sound applications oxygen-free copper (OFC) conductor for enhanced Signal clarity OFC Spiral Shield for Effective EMI and RFI Rejection and Flexibility. . .

"
208,"Our polypropylene straps are made from extra heavy-duty polypropylene webbing and will last much longer than ordinary polypropylene straps. Adjustable length from 35"" to long 59.5""!

"
209,"Pedal Power 2 Plus features include two outputs that will power Line 6 modeling pedals and two outputs that can have a variable voltage sag to emulate dying carbon batteries. Like the original Pedal Power, each of its eight outputs are completely isolated, short circuit protected, regulated and highly filtered. The Pedal Power 2 Plus comes complete with cables, detachable AC power cord, is handmade in the USA and carries a 5-year warranty.

"
210,"Wedgie Micstand Pick Holder Single

"
211,"This Heavy Rubber 4/4 Violin Practice Mute provides a high level of muting while preserving more tone quality than the metal variety. It greatly reduces volume for apartment and late night practicing. Lightweight and safe. Five-prong. Features: For Violin Heavy rubber 5 prong Practice anywhere

"
212,"

Ultra-Flexible Dual-Mode Foot Pedal for Volume and Modulation Control

Get louder, get quieter, or get modulated with the FOOT CONTROLLER FCV100. This versatile pedal works equally well as a volume pedal or a modulation pedal.

The FCV100 can accommodate two mono or one stereo instrument via dual 1/4"" INPUT jacks. By switching into NORM mode, the FCV100 is capable of controlling the volume of two individual instruments. In CV mode the FCV100 can control modulation and volume levels of other musical instruments by connecting OUTPUT 2 to the volume or modulation input of the instrument. In CV mode, when OUTPUT 2 is in use, INPUT/OUTPUT 1 can still be used for controlling the volume of another instrument, similar to NORM mode.

Once you have determined your hookup configuration, simply depress the pedal to increase sound, then rock back on your heel to decrease the sound. By turning the MIN VOL control, you can determine the minimum volume you wish to achieve. You can power this pedal with a 12 V DC Power adapter (not included) or a 9V battery.

Dramatic shifts in volume and modulation can mean the difference between an ordinary musical passage and an extraordinary listening experience. Take hold of these mystifying nuances with the FCV100.



Get louder, get quieter, or get modulated with the FCV100 foot controller. This versatile pedal works equally well as a volume pedal or a modulation pedal.

Routing Options Galore
The FCV100 can accommodate two mono or one stereo instrument via dual 1/4-inch INPUT jacks. By switching into NORM mode, the FCV100 is capable of controlling the volume of two individual instruments. In CV mode the FCV100 can control modulation and volume levels of other musical instruments by connecting OUTPUT 2 to the volume or modulation input of the instrument. In CV mode, when OUTPUT 2 is in use, INPUT/OUTPUT 1 can still be used for controlling the volume of another instrument, similar to NORM mode.

It's Easy!
Once you have determined your hookup configuration, simply depress the pedal to increase sound, then rock back on your heel to decrease the sound. By turning the MIN VOL control, you can determine the minimum volume you wish to achieve.

Powering Options
You can power this pedal with a 12 V DC Power adapter (not included) or a 9V battery.

What's in the Box
Behringer FCV100 Pedal, User's Manual

"
213,"

Dynamic Cardioid Vocal Microphone

Few things are more essential to recording or live performance than dynamic microphones. Behringer's XM8500 has the crucial features and durability to come through for your sound again and again.

Dynamic mics have several advantages that make them ideal for live vocal applications and for recording amplified instruments. They're robust, resistant to moisture and can achieve high gain before feedback. The XM8500's cardioid pickup pattern captures the source signal, such as a guitar amplifier or vocalist, while shunning off-axis sound.

The XM8500 provides an amazing frequency response of 50 Hz to 15 kHz, and includes a two-stage pop filter to minimize breath and pop noises. And with its tough metal construction and sturdy steel windscreen, you can count on it to come through after countless gigs and studio applications. We've even included a rugged hard case with a mic clip and stand adapter.

Check out the XM8500 at your nearest Behringer dealer and find out why these mics are becoming so common in practice spaces, bedrooms, professional studios and stages all over the globe. Compare them to the competition. We're sure you'll be impressed by the XM8500's performance - and the amount of money you'll save!



"
214,"5WAY SelectOR Switch

"
215,"Pickguard Screws

"
216,"Original T/V CTL 250K SPLTSHF

"
217,"One of the easiest ways to change the look of your Fender instrument is to replace the pickguard. This pickguard fits American, American Standard, American Deluxe, American Special, Highway One, Road Worn, Deluxe Player, Blacktop, Standard, Deluxe and Modern Player series Stratocaster guitars with three single-coil pickups (also fits Squier Standard series Stratocaster models 2004-present).

"
218,"Fender Stratocaster jack ferrule. Made for Fender and used on a variety of vintage and contemporary models.

"
219,"Quality instruments demand quality care. Who else knows more about caring for your favorite axe than the company that has been in the business for over 50 years? Treated cloths have a cleaning agent added to the material. Give your axe a little TLC. Untreated cloths also available.

"
220,"Original Strap Buttons

"
221,"Strat KnobS 1V/2T Black

"
222,"Want to change the look of your Stratocaster without spending a lot of money on a paint job. Try sprucing it up with a Stratocaster Accessory Kit. Everything you need to personalize your Stratocaster.

"
223,"

Fender’s Blackface cosmetic treatment (skirted knobs; silver grille cloth) makes these amps look as good as they sound! All Frontman guitar amps, including this, the 25-watt Frontman 25R, feature dual selectable channels (""normal"" and ""drive""), auxilliary input for CD or drum machine use, a headphone jack and separate controls for treble, mid, bass, volume, gain and drive.

The Frontman 25R also features great Fender reverb and an optional footswitch for remote channel selection.





"
224,"This stand features a die-cast steel clutch providing height adjustments from 9"" to 13"" making it perfect for desktop and short height miking. The solid sand-cast base with five rubber feet adds stability. The removable shaft is available with a black powder coat finish (DS7200B) or chrome finish (DS7200C).

"
