,description
137,"

Includes one tube per box of Preparation H Cooling Gel for relief from hemorrhoid symptoms.

Satisfaction Guarantee

If for any reason you are not satisfied with any GSK Consumer Healthcare product, GSK Consumer Healthcare will provide you with a reimbursement within 45 days of the date of purchase. Please note that because GSK is unable to control the quality of our products sold by unauthorized sellers, the Guarantee is not available for products purchased from unauthorized sellers due to potential quality issues outside GSK’s control. Please contact GSK Consumer Healthcare directly for more information.



"
138,
139,"Aquaphor Healing Ointment is designed specifically for sensitive skin. It is the number 1 Dermatologist recommended multi-purpose solution for many of your skin care needs. It is clinically proven to restore smooth, healthy skin and ideal for extremely dry, cracked skin, and chapped lips. It nourishes and protects skin to enhance healing from skin irritations such as minor cuts and burns, cracked cuticles and dry feet and heels. Aquaphor Healing Ointment can also help prevent chafing and helps protect skin from drying effects of wind and cold weather. Uniquely formulated with 41% Petrolatum the ointment works by creating a protective barrier on the skin that allows flow of excess fluid and oxygen. The barrier also keeps in skin's own moisture to create an ideal healing environment, so you can get on with your day comfortably. To use: Apply to the affected area as needed. For best results gently clean any wounds before applying Aquaphor. Aquaphor Ointment is a white translucent to light yellow ointment. Color variations occur due to the nature of the ingredients in the product. Each of the ingredients in Aquaphor are tested and approved for their quality and safety. Color differences do not affect product safety and performance.

"
140,
141,"Coccyx Seat Cushion and Donut Pillow For Tailbone Pain

A popular butt pillow and donut cushion for tailbone pain, hemorrhoids, sciatica. This inflatable rubber ring cushion provides comfort and support while seated for long periods of time. The inflatable rubber ring seat cushion for office chair conforms to the natural contours of the body for comfort while sitting. This butt pillow is easy to clean with a damp cloth and easy to inflate or deflate. It is made from durable heavy gauge rubber. Contours to the body for comfort. Made from durable heavy gauge rubber. Easy to clean. Easy to inflate & deflate. Can be used as a hemorrhoid post surgery pillow

Press ""Add To Cart"" to purchase your seat cushion for tailbone pain



"
142,"Carex Sitz Bath. It is ideal for use in the treatment of hemorrhoids and other conditions in the anal and genital areas, and especially after an episiotomy. Designed to fit standard toilets with wide contoured edges for added comfort and fits all standard commodes. Vents in bowl help prevent accidental overflow.

"
143,
144,"Dietary supplement is designed to enhance performance

"
145,"INDICATIONS:Benzedrex Nasal Decongestant. Quick relief for symptoms associated with allergies, hay fever and colds. Helps clear nasal congestion. Temporarily relieves sinus pressure and stuffy nose due to a cold, hay fever, or other upper respiratory allergies (allergic rhinitis).



For The Temporary Relief of Stuffy Nose.

Contains One Inhaler.

bfascher.com
Made in USA



"
146,"Severe Dry Eye Relief. Sterile. Preservatives free in the eye with GenAqua. Severe Dry Eye Sufferers May Experience: Pain; Persistent redness; Blurred vision; severe itching; Frequent mucous discharge. GenTeal Gel is a clear lubricant eye gel that liquifies upon contact with your eye, forming a non-blurring, protective film. Long-lasting GenTeal Gel contains GenAqua, a disappearing preservative that turns into pure water and oxygen upon contact with your eye. With GenTeal Gel, you only need 1 to 2 applications per day to ensure comfort all day and all night long.

"
147,"Perfect for hiking, camping, marine adventures, home and auto. This 205pc. Outdoor softsided kit, which features all the essential first aid items For minor aches and injuries. Supplies are easy to find in the clear-pocket pages. Kit includes: first aid Guide, accident report form, vinyl gloves, sunblock, lip Ointment, blister prevention, insect sting relief pads, assorted bandages and Gauze dressings, Antiseptics, ointments including burn relief, and more.

"
148,"Introducing PenLet Plus. the blood sampler with the gentle touch. The new PenLet Plus adjustable blood sampler was specifically designed to make testing your blood less painful and more convenient. Reduces pain with pecision punctures at any depth. Replac

"
149,"Designed for Carpal Tunnel Syndrome (Physicians often recommend the use of a rigid wrist brace during management of Carpal Tunnel Syndrome and other wrist ailments. If symptoms persist, discontinue use and contact a physician). Rigid support for many wrist ailments; Helps provide relief from pain, numbness & swelling; Soft-touch materials for all day & night comfort. Futuro offers a wide range of quality products to Support Your Active Life. Each and very product is designed for comfort and it combined with an appealing neutral appearance. Recommended when wrist requires firm stabilization, day or night; Designed to allow free movement of fingers; Easy to slide on and take off; adjustable straps provide the right fit for you. Features: Slide-Guard closure provide easy fit; Soft-Touch fabric delivers support and breathability; Comfort Pad provides extra comfort around thumb; Dorsal and Palmar stabilizers for support. This deluxe Wrist Stabilizer is carefully designed to provide comfort and fit to Support Your Active Life. Small-Medium: 5.5 to 7.5-inch; Large to X-Large: 7.5 to 9.0-inch.





Futuro offers a wide range of quality products to Support Your Active Life.  Each and every product is designed for comfort and fit combined with an appealing neutral appearance.

Slide-Guard? closures provide easy fit.
Soft-Touch fabric delivers comfort and breathability.
Comfort Pad? provides extra comfort around thumb.
Dorsal and Palmar stabilizers for support.

Size:  Measure around the wrist at smallest point.





Fiber Content:  polyester, vinyl, neoprene, nylon, cotton, spandex, natural rubber

This deluxe Wrist Stabilizer is carefully designed to provide comfort and fit to Support Your Active Life.

*Physicians often recommend the use of a rigid wrist brace during management of  Carpal Tunnel Syndrome and other wrist ailments.  If symptoms persist, discontinue use and contact a physician.

Futuro guarantees its products to be of the highest quality.  If you should receive a defective product, please wash and return it.  Futuro will replace any such product free of charge.

Made in U.S.A.



"
150,"Nature's Cure is a unique, two-part acne treatment system that works naturally to clear and prevent acne. Nature's Cure works inside and outside your body to fight acne with all-natural tablets and a medicated 5% Benzoyl Peroxide cream. Dermatologist Tested. Safe and Effective.





Dermatologist Tested.  Safe and Effective.

Nature's Cure is a unique, two-part acne treatment system that works naturally to clear and prevent acne.  Nature's Cure works inside and outside your body to fight acne with all-natural tablets and a medicated 5% Benzoyl Peroxide cream.

Dermatologist Tested:  People often experience noticeably clearer skin after just two to four weeks.  For greatest corrective results, use Nature's Cure for two to six months.  Can be used safely with Nature's Cure Two-Part Body Acne Treatment System for clear skin everywhere.

Available Without A Prescription:  This package contains a one-month supply of tablets and cream.

Made in the USA

Ingredients:





"
151,"JASON skin oils are highly potent treatments. Featuring Vitamins and anti-oxidants, these old-fashioned remedies deliver cutting edge results. JASON was born in California in 1959 when a group of independent thinkers sought to establish a new kind of personal care for themselves and their families. Taking the name JASON, which means ""Healer"" in Greek, they rejected harsh, risky chemicals. Instead, they blended simple, healing ingredients to create soaps and lotions crafted according to the JASON Code of Honor: 1. Select safe, gentle and effective ingredients 2. Rigorously test every formula to ensure safety and efficacy 3. Never test on animals 4. Constantly innovate and improve. for over 50 years the makers of JASON products have kept this code and committed themselves to the idea of wholesome personal care solutions that are safe for us, our families, and our planet.

"
152,"Extended Release SmartControl Technology delivers nicotine fast and continues steadily all day longSatisfaction Guarantee If for any reason you are not satisfied with any GSK Consumer Healthcare product, GSK Consumer Healthcare will provide you with a reimbursement within 45 days of the date of purchase. Please note that because GSK is unable to control the quality of our products sold by unauthorized sellers, the Guarantee is not available for products purchased from unauthorized sellers due to potential quality issues outside GSK’s control. Please contact GSK Consumer Healthcare directly for more information. How does NicoDerm CQ work? Each NicoDerm CQ patch contains a special nicotine rate-controlling membrane that controls the release of nicotine into your bloodstream through your skin. The level of nicotine uptake is lower than that of cigarettes, and the program is designed to allow your body to gradually adjust to having less nicotine until you don’t need any.



Nicotine Transdermal System

Stop Smoking Aid
7 mg, 14 Patches
Delivered Over 24 Hours

New Clear Patches

Use after completing Step 2

3 Step Program

NicoDerm® CQ® is a three step program.  You start with the highest level of medicine and gradually step down your dose.  Reduce withdrawal symptoms, including nicotine craving, associated with quitting smoking

If you smoke 10 or less cigarettes per day, start with Step 2.

What is the NicoDerm® CQ® Patch and How is it Used?
NicoDerm® CQ® is a small, nicotine-containing patch.  When you put on a NicoDerm® CQ® patch, nicotine passes through the skin and into your body.  NicoDerm® CQ® is very thin and uses special material to control how fast nicotine passes through the skin.  Unlike the sudden jolts of nicotine delivered by cigarettes, the amount of nicotine you receive remains relatively smooth throughout the 24 or 16 hours period you wear the NicoDerm® CQ® patch.  This helps to reduce the cravings you may have for nicotine.

2 Week Kit:  Free Personalized Stop Smoking Plan.  Committed Quitters® Program enrollment form, user's guide, audio tape and child resistant disposal try.

Partners in Helping You Quit - American Cancer Society* 

To Increase Your Success In Quitting:

For your family's protection, NicoDerm® CQ® patches are supplied in child resistant pouches.  Do not use if individual pouch is damaged or open.

SmithKline Beecham

*SmithKline Beecham provides an annual grant to the American Cancer Society for stop smoking education and cancer-related research in return for the use of their seal.





"
153,"NicoDerm CQ Step 2 Nicotine Patches to Quit Smoking help you curb nicotine cravings all day long. These smoking cessation patches feature Extended Release SmartControl Technology that delivers a steady flow of therapeutic nicotine for up to 24 hours, making it a once-daily stop smoking aid that calms the anxiety, frustration, irritability and restlessness associated with quitting smoking. Designed to be worn discreetly, these 14 mg nicotine patches stick to your skin like an adhesive bandage, offering a low-maintenance option to kick your smoking habit. Start with these smoking cessation products as your OTC nicotine replacement therapy If you smoke fewer than 10 cigarettes a day. For best results, complete the 8-week quit program with behavioral support by using Step 2 stop smoking patches daily for the first six weeks, and use the Step 3 patches from weeks seven to eight. Take control of your quit with NicoDerm CQ Nicotine Patches to Stop Smoking. Satisfaction Guarantee If for any reason you are not satisfied with any GSK Consumer Healthcare product, GSK Consumer Healthcare will provide you with a reimbursement within 45 days of the date of purchase. Please note that because GSK is unable to control the quality of our products sold by unauthorized sellers, the Guarantee is not available for products purchased from unauthorized sellers due to potential quality issues outside GSK's control. Please contact GSK Consumer Healthcare directly for more information.

By Nicoderm

"
154,"

A delicious face scrub that smells of fuzzy apricots, helps to exfoliate skin and deeply cleans pores for fresher than fresh skin. Our Acne Control Apricot face scrub contains salicylic acid to help prevent new blackheads & blemishes from forming. This blackhead scrub is made with 100% natural exfoliants (like crushed walnut shell) for a gentle, deep cleanse and of course there's apricot extract too which is known to leave feeling soft and smooth. Apricots are our thing. So we know those deliciously fuzzy fruits well. They come from sun-drenched California and North Africa from juicy fruits from different crops, any time of year. Our walnuts are grown in orchards in California, and harvested in the fall where the shells are milled into a fine powder so they have specially rounded edges, which means a softer scrub. Just the way we like it.

Natural ingredients:

Apricot Fruit extract

Walnut shell powder

Corn kernel Tell me more! This facial scrub is dermatologist tested, paraben free, non-comedogenic (not tending to cause blocked pores), and oil free. Use St. Ives Acne Control Apricot Scrub for the treatment of acne and to help prevent new acne pimples and acne blemishes from forming

How to use: Dispense scrub onto fingertips and massage onto damp skin. Spread in small circular motions to wake your skin's natural circulation. When you're done, rinse and glow!

For best results, use 3-4 times a week.



St. Ives Blemish & Blackhead Control Apricot Scrub Exfoliates to prevent blemishes & clean pores. Helps stop breakouts before they occur. Application: Moisten face with water. Dispense product onto fingertips and massage over face. Rinse with water. Avoid direct contact with eyes. In case of contact with eyes, flush thoroughly with water. For best results, use 3 to 4 times per week. St. Ives face model. Image of fresh apricots. Key ingredient APRICOTS are known to contain one of the highest levels of carotenoids (think vitamin A) and super-effective antioxidants. All of this natural power might seem, well, too powerful, but they are actually quite gentle and nourishing and they help make fresher, more nourished skin beautifully possible. Our Commitment & Beauty Philosophy St. Ives is dedicated to bringing you the best of nature with formulas that delight the senses as they work. We understand that little everyday choices we make can impact overall quality of life. That’s why St. Ives is a conscientious formulator of quality products. We are committed to bringing you effective, natural ingredients and formulas that result in fresher, younger looking skin. Above all, we respect the natural world from which our ingredients are sourced, and are committed to preserving its vitality. That’s why we: Don’t formulate using parabens and phthalates Use natural exfoliants, extracts, moisturizers and vitamins Source from environmentally sustainable vendors Always seek out solutions to improve our packaging St. Ives logo. You can join us in our commitment One of our goals is to get more materials that can be recycled… recycled. Here’s some guidance on how you can help to recycle our products. Step 1: Locate the recycling number on our product package to find out what can be recycled and where to take it Step 2: Carefully cut the end tubes off and rinse out the containers Step 3: Keep the cap with the tube when you recycle the packaging Step 4: Recycle it! Explore the entire line of St. Ives Facial Care St. Ives complete range of facial care.

"
155,"NuHair Thinning Hair Serum contains nourishing compounds and vital nutrients that help your hair look and feel thicker. It contains the Chinese formula renowned worldwide for its ability to help rejuvenate lifeless, thinning hair, and utilizes a lipoceutical, time-released multiphase delivery technology. Its one of the most advanced formula for hair care availability today!How it works: NuHair Thinning Hair Serum utilizes a lipoceutical transactive delivery system. Vital nutrients are supplied to nourish the follicle receptor sites. These botanical nutrients and natural immune boosters help replace lost vitamins and minerals and guard against damaging agents.Herbal Blend Hair Complex: Advanced phytonutrient support to help strengthen thinning hair.Retinyl Palmitate: Scientifically proven cosmeceutical.Saw Palmetto: Nourishing herbal support for maximum effectiveness.Biotin: B vitamin promotes healthy looking hair.Panthenol: Strengthens and moisturizes the hair shaft.Tocopheryl Acetate: Provides the antioxidant vitamin E to help promote healthy, vibrant looking hair and scalp.Hydrolyzed Keratin: Invigorates the scalp to strengthen the hair.He Shou Wu: Chinese herb traditionally used to promote the appearance of thick, healthy hair.Jojoba Oil: Adds luster and strength to hair while moisturizing the scalp.



Promotes Health Hair.

NuHair™ AntiThinning Shen Min® Extra-Strength utilizes a patented lipceutical, time-released multiphase delivery technology. It contains high energy compounds that assist in supporting skin metabolism and counteract and inhibit environmental free-radical damage to hair sites. NuHair™ Serum also supplies vital nutrients (Herbal Blend Hair Complex) to promote thicker, fuller hair. NuHair™ Serum is a revolutionary combination of natural nutriceutical components never before combined in one product. Together they constitute the most advanced formula in hair care available today! Shen Min is the Chinese formula renowned worldwide for its ability to restore hair's original thickness, color and texture. NuHair Serum supports the homeostatic and cellular balance of the scalp. Retinyl Palmitate is scientifically proven and patented. Scientifically engineered for the life of your hair.

Applied Science of NuHair™ AntiThinning Shen Min® Extra-Strength Serum:

Consumer info line: 1-800-774-3664
biotechcorp.com



"
156,"<P><STRONG>Breathe Right® Nasal Strips:</STRONG></P><UL><LI>Relieves nasal congestion <LI>Mentholated <LI>Drug-Fee <LI>A flexible, ""spring-like"" piece gently lifts congested nasal passages open. <LI>A special adhesive holds the strip comfortably in place</LI></UL><P>Breathe Right® nasal strips can provide temporary relief from nasal congestion and stuffiness and may also reduce or eliminate snoring. Use while sleeping, exercising, or during the day.</P><P><STRONG>Size is important.</STRONG> Get the right size for maximum benefit:</P><P><STRONG>SM/MED</STRONG> - fits most adult noses. The majority of adults have small to average size noses<BR><STRONG>LARGE</STRONG> - for an adult with a larger nose</P><P>Box contains 10 SM/MED mentholated nasal strips</P><P>Questions? call 1-800-858-6673 or visit breatheright.com</P><P> </P><P> </P>

"
157,"Ezy Dose XL Pill Planner - Large 7-Day Pill Reminder - This Extra Large Weekly Pill Organizer is Perfect for Scheduling Your Week's Medication. Its Clearly Labeled Compartments and Transparent Lid are Simple To Use and Help You Keep Track Of Your Medication Through The Week . This Large 7-Day Pill Planner is designed for easy use and maximum storage. Its large compartments hold up to 100 aspirin tablets. Each compartment is clearly labeled with large letters and braille markings . The product's clear lid allows easy visibility of medication to help prevent missing doses. The main features of the Large 7-Day Pill Planner include:.Bold Labeling - Each day's compartment is labeled in large font and in braille markings Clear Lid - Allows easy visibility of medications to help prevent any missed doses Extra Large Compartments - Each compartment can fit 100 aspirin tablets and has plenty of room for all of your daily medications. Dimensions 11 x 2 1/8 x 1 1/8 inches About Ezy Dose:Ezy Dose is the leader in easy-to-use medication management products. Many of our push-button pill planners are endorsed by the Arthritis Foundation for our ease-of-use design. Ezy Dose products make living healthier simply easier with products like pill cutters, pill crushers and a full line of easy-fill planners.

"
158,"You'll never forget another dose with this Jumbo Weekly Pill Reminder. The extra large compartments easily hold a daily dosage of medication or vitamins. Each compartment is large enough to hold 60 aspirin tablets. Made of durable plastic with easy-to-open, tight-fitting lids. Each compartment lid indicates the day of the week by letter and Braille markings. A great way to get organized without the hassle of opening several different bottles every time you need to take your vitamins and medication. Simply fill once a week and all of your medication and vitamins will be in one handy location. Also works great for organizing fishing lures, hooks, sinkers, washers, beads and other small items. Contents: One Jumbo Weekly Pill Reminder, 2 XL

"
159,"Pepcid AC Original Strength Heartburn Relief Tablets with famotidine provide fast-acting prevention and relief of heartburn associated with acid indigestion and sour stomach. Each acid controlling tablet contains 10 milligrams of famotidine, a known acid reducer that helps relieve heartburn brought on by eating or drinking certain food and beverages. Keep a package in your bag or at your desk for easy-access to treat heartburn on-the-go. You can take Original Strength Pepcid AC as little as 15 minutes before eating, and know you have strength on your side all day or all night.** It can calm the acid flare-up with relief that starts working in minutes.*** * Prevents heartburn if taken 15 to 60 minutes before a meal. ** Based on 9-hour acid control studies during the day and 12-hour acid control studies during the night. Acid control does not imply symptom relief. *** Pepcid AC starts to relieve heartburn in 15 to 30 minutes.

"
160,
161,"Schick Xtreme 3 triple blade disposable razors, sensitive skin, Triple-Blade design flexes and PIVOTS to adapt to the contours of your face so you'll get a close shave, easy rinse design helps keep blades from clogging. Lubricating dual comfort strips on cartridge formulated with Vitamin E and Aloe help protect skin against irritation. Ergonomic handle for a steady grip

"
162,"The PowerBar Performance Energy Bar is a great choice for use before and during training sessions and high-endurance competitions like running, cycling, and swimming. Provides a high quality Max Energy carbohydrate blend; a 2:1 glucose to fructose blend found to deliver 20 to 50 percent more energy to muscles than glucose alone. Contains 200mg sodium, a key electrolyte lost in sweat that is associated with muscle cramping in some athletes.

"
163,"Ideal for comfortable arch support. Clinically proven arch pain relief. Guaranteed all-day comfort. You Have: arch pain. You Want: immediate and all day arch pain relief with the comfort of massaging gel. You Need: Dr. Scholl's Massaging Gel Arch Supports. Unique Dual Gel Design: light blue gel cushions the forefoot; dark blue gel supports and comforts the arch. Contoured Design: provides shock absorption and stability. Casual shoes. Dress shoes. Sneakers.

"
164,"Clubman Pinaud After Shave Lotion, 6 Ounce

"
165,"Cleaning tip bristles to effectively reach and clean back teeth and between teeth. Easy-to-grip handle to provide comfort and control while brushing. Dentists & hygienists recommend replacing your toothbrush every 3 months.

"
166,"DynaFilter™ Model K14-3W Replacement Filter Air Cleaning Humidifier Cartridge.
Protec™.
4 model K14-3W.
Captures dust, pollen, odors and tobacco smoke.
Fits models:
CVS® 4100.
Kaz® DynaMist.
Kaz® HealthMist™.
Vicks® V400, V420, V425.
Contains 3 filters.

This is a replacement pack of three K14 filters for all DynaMist domestic humidifiers. Regularly replacing the filter in a humidifier is important: dirty humidifiers spray mildew and other irritants, don't humidify efficiently, and fail to filter out odors and allergens. These filters also fit Vicks CoolMist humidifiers. --Richard Farr

"
167,"Abreva Cream Tube 2gm 1 Single Unit NDC/UPC # 07660-80135 00766080100

"
168,"Quickly relieve heartburn associated with acid indigestion and sour stomach with Pepcid Complete Acid Reducer + Antacid Chewable Tablets. These cool mint-flavored heartburn relief tablets combine a fast-working antacid and long-lasting acid reducer to help control acid all day or all night.* Formulated with 10 mg of the acid reducer famotidine, 800 mg of the antacid calcium carbonate and 165 mg of the antacid magnesium hydroxide per tablet, this heartburn reliever helps to neutralize and control acid. The dual-action formula starts working in seconds and lasts longer than Tums.** Whether at brunch or a new food spot, use Pepcid Complete Mint Chewables for fast-acting relief so you don't have to worry about hurting now or hurting later. * Based on 9-hour acid control studies during the day and 12-hour acid control studies during the night. Acid control does not imply symptom relief. ** Tums is a registered trademark of GlaxoSmithKline.

By Pepcid





























"
169,
170,"Osteo Bi-Flex Triple Strength was created to nurture and help protect your joints, and to nutritionally support joint mobility.* It features the legendary Joint Shield plus glucosamine, which strengthens your joints one dose at a time, so that you can go about your business – comfortably.* Experience true joint comfort for yourself with Osteo Bi-Flex.*﻿When you want to run, jump, climb and play, you're going to want to have a joint support supplement that can keep up.* With Osteo Bi-Flex, you can have it all!

"
171,"Gillette Venus Original razor cartridges are versatile and convenient and come in an 4-count package. Fits all Venus razor handles except Simply Venus. The Venus Original razor features protective cushions surrounding 3 blades for a smooth, close shave in just one stroke. Now it’s easy to have dramatically smooth skin anytime.

By

















"
172,"Gillette Venus razors for women are designed with a woman’s body in mind. From handles designed for a comfortable grip to pivoting heads that contour to curves, Venus razors are designed to help reveal smooth skin. The Venus Smooth women's razors are the FIRST EVER 3 bladed razors designed for women. Featuring 3 curve-hugging blades surrounded by protective, elastomer comfort cushions smoothing skin for a quick and straightforward shave with results you can rely on. The pivoting head responds to subtle changes in your body’s contours. The razor blades also feature a blue indicator strip that fades away to tell you when you are no longer getting the optimal shave. Based on shaving twice per week, each razor blade refill will last for up to 1 month. Just use and replace when you are ready for a new one. Shave hair quickly and effectively. Shave right, not more. Did you know that any Venus blade refill fits any Venus razor handle? Shave your way without buying a whole new Venus handle.

"
173,"Excellent source of calcium. Low fat. No sugar added. High protein. Naturally & artificially flavored. Make Carb Solutions a part of your diet. Carb Solutions high protein shake mix. Specially formulated to help maintain dieting goals while building lean muscle. Low fat and packed with high quality proteins needed to support your active lifestyle. Provides Calcium, Milk Proteins and 18 additional vitamins and minerals to help maintain strong bones, support the immune system and promote energy metabolism. Delicious and Easy to mix! Not a low calorie food. See Nutrition Facts for further information on sugar and calorie content. When used with a controlled carbohydrate, reduce-calorie diet and daily exercise program. Carb Solutions High Protein Shake Mix also contains dairy (from milk protein) and calcium, which can be important components of any healthy reduced-calorie diet.

"
174,"Update later

"
175,
176,
177,"Fresh scent wet ones antibacterial wipes come in a 40-count package. They are made with dura-strong fabric that will not break so you can use each one to clean multiple areas. These non-sticky formula hand and face wipes are hypoallergenic and enriched with skin-conditioning aloe. Their pleasing scent will leave you refreshed. If you want to keep them in your car, these convenient wipes can fit into a 3"" diameter car cup holder.

"
178,"EAS Myoplex Original Protein Shake Mix Packets contain a premium protein blend for building lean muscle. They provide 42g of high-quality protein and 8.9g BCAAs to stimulate muscle protein synthesis so you can recover faster and grow stronger. Our product is NSF tested and certified and available in great-tasting Chocolate Cream, Strawberry Cream, and Vanilla Cream. Convenient, single-serve Myoplex Original Protein Shake Mix Packets are an easy way to help maximize muscle gain post workout.

"
179,"Rembrandt came to be when a dentist decided to make a better toothpaste. He began by dreaming about papayas. There's an enzyme in the papaya plant that naturally helps clean your teeth. This little enzyme, and a sprinkling of creative science, created something called Citroxain. An entirely new way of caring for your mouth was born. At Rembrandt, we believe having a healthy mouth goes beyond teeth and gums. We care about your entire mouth. It's this mouth of yours that literally tells the world who you are. With a little love and care, it can be brilliant. Deep cleans and whitens gently.







Now you can maintain a brighter, healthier smile without having to give up your favorite foods and beverages.



Q. How long does it take to see results from daily brushing with REMBRANDT Intense Stain Toothpaste?
A. It depends on the current color of your teeth. Some people see an immediate whitening effect. However, for teeth with a noticeable amount of stains, it can take longer to see a change in color. For those who already have very white teeth or have had a professional whitening service, REMBRANDT Intense Stain Toothpaste provides an excellent way to maintain the level of whiteness, especially when used in conjunction with other REMBRANDT daily whitening products.

Q. What makes REMBRANDT Intense Stain Toothpaste different/better than other whitening toothpastes on the market?
A. REMBRANDT Intense Stain Toothpaste has a unique, dual-action, proprietary formula specifically created to help lift tough stains from teeth while also helping prevent new stains from sticking to tooth enamel.



The REMBRANDT family of teeth whitening products includes five Daily Whitening products and two Fast Whitening products, as shown below, all designed to keep your teeth looking healthy and bright:



























"
180,"The Ultrasonex rechargeable toothbrush supercharges your dental hygiene routine, removing far more plaque than even the most manic manual brushing could achieve. Alternating 1.6 MHz ultrasonic and 18,000 SPM carrier waves, the ""dual frequency"" action purports to reach below the gum line to prevent gingivitis and bleeding. (More likely, it's the 18,000 strokes per minute that does the trick.) It's certainly true that the Ultrasonex leaves teeth as clean as they'll feel short of a trip to the dentist. The charge lasts for up to 4 days, making it easy to bring along on short trips. The ergonomically designed toothbrush feels good in the hand, and it even turns itself off automatically after three minutes--the amount of brushing time recommended by dentists. No cheating by shutting it off manually! --Mary Park

"
181,"The lightweight and easy-to-use ES246AC Panasonic Bikini Trimmer and Shaver for women provides close, convenient personal shaving, trimming and shaping. Just 1.3 inches across, this ladies bikini shaver trims and shapes hair quickly and comfortably, and an angled Panasonic bikini trimmer head follows natural skin contours for more precise and gentle women's grooming. The durable, stainless-steel hypo-allergenic blade is protected by an adjustable five-position bikini trimming and shaping head to let you set the precise lengths of hair you want to keep. This smartly angled waterproof bikini trimmer head also helps remove any stray or unwanted hair more easily along the bikini line. The bikini shaver head also reduces irritation and razor bumps for the clean, smooth shaving, trimming and shaping you want. At the same time, the trimmer head's softly rounded tips make personal shaving more comfortable and safe. The slim, portable Panasonic ES246AC Bikini Trimmer and Shaver for women is powered by two AA-size batteries (not included). A convenient personal groomer cleaning brush is included for regular shaver maintenance or on-the-spot cleaning anytime.

"
182,"- Panasonic beard and mustache trimmer- 6 position hair length adjustment for precise control with lock-in switch- Convenient built-in AC recharging plug- Up to 45 minutes of operating time per charge- Includes trimming guide, cleaning brush and oil for lubricating bladesER389K

With stainless-steel blades and a convenient built-in plug-charging system, this beard and mustache trimmer keeps facial hair well groomed and under control. With six length settings, you have precise control over trimming, avoiding such accidents as bald patches and uneven beard length. For closer trimming, the guide comes off completely.

Recharging is convenient--simply slide the retractable plug into its charging position, and plug it into the wall for easy charging and storage. You'll get 45 minutes of usage out of an eight-hour charge. The trimmer includes the trimming guide, a cleaning brush, and oil for lubricating the blades. It comes with a limited warranty. --Ariel Meadow Stallings

"
183,
184,
185,"Odor-Eaters Foot Spray Powder 4 Oz

"
186,"Electric Massager

"
187,"Note: this is not a Shiatsu kneading massager with rolling balls; this is a vibration massager only. Enjoy a relaxing vibration massage at home, at the office or in the car with the Relaxzen 10-Motor Massage Cushion by Comfort Products. Whether on or off, the soft polyester fabric, plush polyurethane foam and large seating area (19""W x 18""D) add support and style to any seating environment. Whether at home or in the car, the 10-motor massage cushion is sure to hit trouble areas affected by the day's stress by gently massaging the neck, upper and lower back, lumbar, and thighs all at once or by targeting those areas individually. Selecting the proper massage for your need is important; the large backlit controller allows the user to choose from 8 different intensities and speeds and also includes 5 pre-programmed massage modes. To release even more stress and tension, simply push the heat button to activate the heated lumbar area. With the included AC adaptor (home use) and DC adaptors (car use), use the cushion while at work and take it with you for the car ride home. Treat yourself or someone else with the Relaxzen 10-Motor Massage Cushion by Comfort Products.

"
188,"Snore Stop Extinguisher 120 Throat Sprays I Natural Anti-Snoring Solution I Snore Relief I Stop Snoring Aid I Sleep Remedy I Device Free I Helps Stop Snores I Anti-Snore Spray I Two Month Supply

"
189,"Doc Johnson Pocket Rockets have set the standard for all vibrators.

"
190,
191,"ID Glide is the premium award-winning water-based lubricant that has been America’s favorite for over twenty five years. This doctor recommended best-selling formula is designed for a smooth and natural feel. Non-staining and toy friendly, ID Glide is long lasting and can easily be re-activated with a few drops of water or saliva. It is sure to become your favorite lube! Whether you want to experience more pleasure, or need help with discomfort during sex or just want to spice things up in the bedroom, using the right lube for you can make all the difference. ID Lubricants, no one does it better! This formula is made in the USA and is FDA cleared. Available in 1 fl. oz., 2.2 fl. oz., 4.4 fl. oz., 8.5 fl. oz. dispensing cap bottles, 17 fl. oz., 64 fl. oz. and 1 gallon pump bottles, 12 ml., 2 fl. oz., 4 oz. tubes.

"
192,"This moisturizing lotion with Peppermint Oil and Plum Extract refreshes tired legs and feet while smoothing dry skin on rough soles and heels. Tea Tree Oil helps soothe and relax tired feet.

"
193,"CLEAR CARE with lens case is ideal for anyone looking for a daily cleaning and disinfecting solution for contact lenses. CLEAR CARE is the #1 doctor recommended hydrogen peroxide solution on the market. The exclusive Triple Action Cleaning formula and unique case, provides the perfect clean for sensitive eyes. This gentle saline solution offers a complete neutralization of peroxide which imitates natural tears. CLEAR CARE uses hydrogen peroxide to kill harmful germs and bacteria that can be found on contact lenses, helping prevent eye infections. The cleaning and disinfecting process allows the solution to penetrate the lens to provide a deep clean, while the bubbling action helps to remove protein deposits and other foreign materials. Let the lens soak for 6 hours or overnight to allow the peroxide to neutralize and help avoid eye irritation when inserting the contact lenses. CLEAR CARE is preservative-free, which means no chemicals will touch the eyes and cause irritation. Store the lenses in an unopened CLEAR CARE lens case for up to 7 days and discard the old solution before using again. After the lens has been cleaned, make sure to get rid of all excess solution that is left in the case. CLEAR CARE can be used with both soft and rigid (RGP) lenses. CLEAR CARE’s vision is to be the most trusted leader in eye care and looks forward to continuing the trend of bringing the best new contact solutions and rinses to their patients around the world.

"
194,
